# lat,lng,id,name,building_type,type,url,page_type
# Sant'Agata di Militello -- Tutti
38.066459,14.627541,ov_ospedale_s__agata_militello_38.0665_14.6275,Ospedale S. Agata Militello,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/ospedale_s_agata_militello_38.0665_14.6275.json,custom
38.030821,14.628974,ov_ristorante_dalle_fontana_38.0308_14.6290,Ristorante Dalle Fontana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/ristorante_dalle_fontana_38.0308_14.6290.json,custom
38.031128,14.628977,ov_la_valle_ristorante_38.0311_14.6290,La Valle Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/la_valle_ristorante_38.0311_14.6290.json,custom
38.037592,14.630278,ov_la_valle_ristorante_pizzeria_38.0376_14.6303,La Valle Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/la_valle_ristorante_pizzeria_38.0376_14.6303.json,custom
38.040553,14.628095,ov_dalle_fontana_ristorante_38.0406_14.6281,Dalle Fontana Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/dalle_fontana_ristorante_38.0406_14.6281.json,custom
38.062763,14.637941,ov_pizzeria_trattoria_desiderio_38.0628_14.6379,Pizzeria Trattoria Desiderio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/pizzeria_trattoria_desiderio_38.0628_14.6379.json,custom
38.063935,14.633514,ov_eurospin_italia_38.0639_14.6335,Eurospin Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/eurospin_italia_38.0639_14.6335.json,custom
38.074860,14.656680,ov_ristorante_il_grande_pino_38.0749_14.6567,Ristorante Il Grande Pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/ristorante_il_grande_pino_38.0749_14.6567.json,custom
38.074785,14.641046,ov_la_capannina_disco_38.0748_14.6410,La Capannina Disco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/la_capannina_disco_38.0748_14.6410.json,custom
38.074799,14.641656,ov_da_tano_38.0748_14.6417,Da Tano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/da_tano_38.0748_14.6417.json,custom
38.074799,14.641710,ov_zero_gradi___ristorante_di_pesce_e_pizze_38.0748_14.6417,Zero Gradi - Ristorante di pesce e Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/zero_gradi_-_ristorante_di_pesce_e_pizze_38.0748_14.6417.json,custom
38.074645,14.647046,ov_il_casale_trattoria_pizzeria_38.0746_14.6470,Il Casale Trattoria Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/il_casale_trattoria_pizzeria_38.0746_14.6470.json,custom
38.074170,14.639792,ov_la_baya_38.0742_14.6398,La Baya,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/la_baya_38.0742_14.6398.json,custom
38.074355,14.639963,ov_pinsata_38.0744_14.6400,Pinsata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/pinsata_38.0744_14.6400.json,custom
38.073854,14.639435,ov_divina_pizza_di_antonio_caiola_38.0739_14.6394,Divina Pizza di Antonio Caiola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/divina_pizza_di_antonio_caiola_38.0739_14.6394.json,custom
38.073839,14.639389,ov_yuri_sushi_restaurant_38.0738_14.6394,Yuri Sushi Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/yuri_sushi_restaurant_38.0738_14.6394.json,custom
38.073136,14.638518,ov_kingu_sushi_38.0731_14.6385,Kingu Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/kingu_sushi_38.0731_14.6385.json,custom
38.071111,14.659328,ov_trattoria_la_carrubba_38.0711_14.6593,Trattoria La Carrubba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/trattoria_la_carrubba_38.0711_14.6593.json,custom
38.070975,14.634221,ov_a_tinkite__38.0710_14.6342,A Tinkite',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/a_tinkite_38.0710_14.6342.json,custom
38.070832,14.633823,ov_ristorante_carletto_38.0708_14.6338,Ristorante Carletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/ristorante_carletto_38.0708_14.6338.json,custom
38.070819,14.633345,ov_ristorante_pizzeria_la_risacca_38.0708_14.6333,Ristorante Pizzeria La Risacca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/ristorante_pizzeria_la_risacca_38.0708_14.6333.json,custom
38.072000,14.636436,ov_vertigo_38.0720_14.6364,Vertigo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/vertigo_38.0720_14.6364.json,custom
38.072015,14.636601,ov_new_smile_ristorante_pizzeria_38.0720_14.6366,New Smile Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_di_militello/pages/new_smile_ristorante_pizzeria_38.0720_14.6366.json,custom
