# lat,lng,id,name,building_type,type,url,page_type
# Ponte -- Tutti
41.215180,14.698171,ov_studio_labor_vitae_41.2152_14.6982,Studio Labor Vitae,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/studio_labor_vitae_41.2152_14.6982.json,custom
41.185473,14.681385,ov_il_grappolo_d_oro_41.1855_14.6814,Il Grappolo d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/il_grappolo_doro_41.1855_14.6814.json,custom
41.210672,14.685827,ov_balera_olimpo_41.2107_14.6858,Balera Olimpo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/balera_olimpo_41.2107_14.6858.json,custom
41.214722,14.695149,ov_la_pergoletta_41.2147_14.6951,La Pergoletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/la_pergoletta_41.2147_14.6951.json,custom
41.213634,14.698938,ov_antica_osteria_frangiosa_41.2136_14.6989,Antica Osteria Frangiosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/antica_osteria_frangiosa_41.2136_14.6989.json,custom
41.213550,14.698710,ov_una_fame_da____leone_41.2135_14.6987,Una fame da... Leone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/una_fame_da_leone_41.2135_14.6987.json,custom
41.213380,14.692960,ov_antica_osteria_frangiosa_41.2134_14.6930,Antica Osteria Frangiosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/antica_osteria_frangiosa_41.2134_14.6930.json,custom
41.215189,14.697697,ov_dolci_voglie_srl_41.2152_14.6977,Dolci Voglie SRL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/dolci_voglie_srl_41.2152_14.6977.json,custom
41.214921,14.697192,ov_bar_zotti_trattoria_da_tonino_41.2149_14.6972,Bar Zotti Trattoria da Tonino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/bar_zotti_trattoria_da_tonino_41.2149_14.6972.json,custom
41.217762,14.679584,ov_pietreionne_41.2178_14.6796,Pietreionne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/pietreionne_41.2178_14.6796.json,custom
41.213860,14.694930,ov_anymorecaf__ponte_41.2139_14.6949,AnymoreCafè Ponte,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/anymorecaf_ponte_41.2139_14.6949.json,custom
41.213799,14.698493,ov_anymore_caf__41.2138_14.6985,Anymore Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/anymore_caf_41.2138_14.6985.json,custom
41.213867,14.698511,ov_the_hops_41.2139_14.6985,The Hops,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/the_hops_41.2139_14.6985.json,custom
41.214046,14.694006,ov_krimissa_fitness_body_41.2140_14.6940,Krimissa Fitness Body,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ponte/pages/krimissa_fitness_body_41.2140_14.6940.json,custom
