# lat,lng,id,name,building_type,type,url,page_type
# Cernobbio -- Tutti
45.837342,9.067890,ov_azienda_ospedaliera_ospedale_s__anna_45.8373_9.0679,Azienda Ospedaliera Ospedale S. Anna,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/azienda_ospedaliera_ospedale_s_anna_45.8373_9.0679.json,custom
45.838589,9.061869,ov_ristorante_pizzeria_val_verde_cernobbio_45.8386_9.0619,Ristorante pizzeria val verde cernobbio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/ristorante_pizzeria_val_verde_cernobbio_45.8386_9.0619.json,custom
45.841279,9.067075,ov_albergo_ristorante_della_torre_45.8413_9.0671,Albergo Ristorante Della Torre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/albergo_ristorante_della_torre_45.8413_9.0671.json,custom
45.843149,9.064148,ov_federico_cernobbio_pizzeria_e_cucina_45.8431_9.0641,Federico Cernobbio Pizzeria e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/federico_cernobbio_pizzeria_e_cucina_45.8431_9.0641.json,custom
45.843120,9.064120,ov_la_sosta_45.8431_9.0641,La Sosta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/la_sosta_45.8431_9.0641.json,custom
45.873390,9.066458,ov_ristoro_alpino_vetta_bisbino_45.8734_9.0665,Ristoro Alpino Vetta Bisbino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/ristoro_alpino_vetta_bisbino_45.8734_9.0665.json,custom
45.848530,9.079884,ov_il_gatto_nero_45.8485_9.0799,Il Gatto Nero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/il_gatto_nero_45.8485_9.0799.json,custom
45.849893,9.081585,ov_bar_azzurro_ristorante_45.8499_9.0816,Bar Azzurro Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/bar_azzurro_ristorante_45.8499_9.0816.json,custom
45.846023,9.080651,ov_the_grill_45.8460_9.0807,The Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/the_grill_45.8460_9.0807.json,custom
45.846266,9.080191,ov_grill_di_villa_d_este_45.8463_9.0802,Grill di Villa d'Este,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/grill_di_villa_deste_45.8463_9.0802.json,custom
45.844992,9.079392,ov_veranda_45.8450_9.0794,Veranda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/veranda_45.8450_9.0794.json,custom
45.843455,9.077965,ov_ristorante_platano_45.8435_9.0780,Ristorante Platano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/ristorante_platano_45.8435_9.0780.json,custom
45.843346,9.077850,ov_villa_marina_45.8433_9.0778,Villa Marina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/villa_marina_45.8433_9.0778.json,custom
45.842077,9.077556,ov_la_piazzetta_lago_di_como_45.8421_9.0776,La Piazzetta Lago di Como,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/la_piazzetta_lago_di_como_45.8421_9.0776.json,custom
45.841994,9.068379,ov_ristorante_trattoria_del_glicine_45.8420_9.0684,Ristorante Trattoria del Glicine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/ristorante_trattoria_del_glicine_45.8420_9.0684.json,custom
45.838259,9.068524,ov_ristorante_materia_cernobbio_45.8383_9.0685,Ristorante Materia Cernobbio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/ristorante_materia_cernobbio_45.8383_9.0685.json,custom
45.837947,9.069777,ov_casa_perrotta_restaurant_45.8379_9.0698,Casa Perrotta Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/casa_perrotta_restaurant_45.8379_9.0698.json,custom
45.838121,9.071254,ov_pizzeria_musti_45.8381_9.0713,Pizzeria musti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/pizzeria_musti_45.8381_9.0713.json,custom
45.838113,9.071564,ov_la_nuova_pergola_45.8381_9.0716,La Nuova pergola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/la_nuova_pergola_45.8381_9.0716.json,custom
45.838389,9.071856,ov_materia_45.8384_9.0719,Materia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/materia_45.8384_9.0719.json,custom
45.840538,9.075442,ov_trattoria_laghee_45.8405_9.0754,Trattoria Laghee,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/trattoria_laghee_45.8405_9.0754.json,custom
45.840424,9.075145,ov_panetteria_aurora_45.8404_9.0751,Panetteria Aurora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/panetteria_aurora_45.8404_9.0751.json,custom
45.840623,9.075129,ov_restaurant_meat_45.8406_9.0751,Restaurant Meat,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/restaurant_meat_45.8406_9.0751.json,custom
45.840819,9.076728,ov_ristorante_hostaria_cernobbio_45.8408_9.0767,Ristorante Hostaria Cernobbio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cernobbio/pages/ristorante_hostaria_cernobbio_45.8408_9.0767.json,custom
