# lat,lng,id,name,building_type,type,url,page_type
# Pradamano -- Tutti
46.036558,13.295708,ov_veins___leg_center_46.0366_13.2957,Veins & Leg Center,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/veins_leg_center_46.0366_13.2957.json,custom
46.021763,13.274224,ov_la_piadineria_46.0218_13.2742,La Piadineria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/la_piadineria_46.0218_13.2742.json,custom
46.022428,13.273955,ov_burger_king_46.0224_13.2740,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/burger_king_46.0224_13.2740.json,custom
46.022413,13.274805,ov_oltre_46.0224_13.2748,OLTRE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/oltre_46.0224_13.2748.json,custom
46.021194,13.285023,ov_old_wild_west___pradamano_the_space_46.0212_13.2850,Old Wild West - Pradamano The Space,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/old_wild_west_-_pradamano_the_space_46.0212_13.2850.json,custom
46.021138,13.286528,ov_tex_grill_46.0211_13.2865,Tex Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/tex_grill_46.0211_13.2865.json,custom
46.021224,13.286517,ov_velox_pizza_46.0212_13.2865,Velox Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/velox_pizza_46.0212_13.2865.json,custom
46.021263,13.286515,ov_ristorante_old_oriente_46.0213_13.2865,Ristorante Old Oriente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/ristorante_old_oriente_46.0213_13.2865.json,custom
46.021274,13.286601,ov_ristorante_velo_46.0213_13.2866,Ristorante Velo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/ristorante_velo_46.0213_13.2866.json,custom
46.020342,13.287197,ov_oya_sushi_fusion_experience_udine_46.0203_13.2872,Oya Sushi Fusion Experience Udine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/oya_sushi_fusion_experience_udine_46.0203_13.2872.json,custom
46.019188,13.292396,ov_old_wild_west_express_46.0192_13.2924,Old Wild West Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/pradamano/pages/old_wild_west_express_46.0192_13.2924.json,custom
