# lat,lng,id,name,building_type,type,url,page_type
# Lignano Sabbiadoro -- Tutti
45.681850,13.120324,ov_pronto_soccorso_di_lignano_45.6819_13.1203,Pronto Soccorso di Lignano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lignano_sabbiadoro/pages/pronto_soccorso_di_lignano_45.6819_13.1203.json,custom
45.647393,13.097410,ov_ristorante_alla_vecchia_finanza_45.6474_13.0974,Ristorante Alla Vecchia Finanza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lignano_sabbiadoro/pages/ristorante_alla_vecchia_finanza_45.6474_13.0974.json,custom
45.650874,13.091796,ov_al_cason_45.6509_13.0918,Al Cason,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lignano_sabbiadoro/pages/al_cason_45.6509_13.0918.json,custom
45.660890,13.077377,ov_ristorante_da_willy_45.6609_13.0774,Ristorante da Willy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lignano_sabbiadoro/pages/ristorante_da_willy_45.6609_13.0774.json,custom
45.663190,13.075200,ov_arnold_pucher_45.6632_13.0752,Arnold Pucher,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lignano_sabbiadoro/pages/arnold_pucher_45.6632_13.0752.json,custom
45.664451,13.107848,ov_ai_ciclisti_grill_45.6645_13.1078,Ai Ciclisti GRILL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lignano_sabbiadoro/pages/ai_ciclisti_grill_45.6645_13.1078.json,custom
45.656490,13.098529,ov_ristorante_pizzeria_il_capriccio_45.6565_13.0985,Ristorante Pizzeria Il Capriccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lignano_sabbiadoro/pages/ristorante_pizzeria_il_capriccio_45.6565_13.0985.json,custom
45.656490,13.099098,ov_il_grappolo2021_45.6565_13.0991,il_grappolo2021,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lignano_sabbiadoro/pages/ilgrappolo2021_45.6565_13.0991.json,custom
45.654571,13.096783,ov_pizzeria_da_fabio_45.6546_13.0968,Pizzeria Da Fabio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lignano_sabbiadoro/pages/pizzeria_da_fabio_45.6546_13.0968.json,custom
45.655244,13.097291,ov_ristorante_pizzeria_san_remo_45.6552_13.0973,Ristorante Pizzeria San Remo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lignano_sabbiadoro/pages/ristorante_pizzeria_san_remo_45.6552_13.0973.json,custom
45.655527,13.097430,ov_la_boreana_45.6555_13.0974,La Boreana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/lignano_sabbiadoro/pages/la_boreana_45.6555_13.0974.json,custom
