# lat,lng,id,name,building_type,type,url,page_type
# Fiesso d'Artico -- Tutti
45.419695,12.062310,ov_le_mammole_del_reparto_maternit__ospedal_45.4197_12.0623,Le Mammole del Reparto Maternità Ospedale di Dolo - VE,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/le_mammole_del_reparto_maternit_ospedale_45.4197_12.0623.json,custom
45.398230,12.050732,ov_sushiwok_fosso_45.3982_12.0507,Sushiwok fosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/sushiwok_fosso_45.3982_12.0507.json,custom
45.413005,12.017952,ov_brace_e_fantasia_45.4130_12.0180,Brace e Fantasia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/brace_e_fantasia_45.4130_12.0180.json,custom
45.415104,12.017160,ov_dami_pizza_45.4151_12.0172,Dami Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/dami_pizza_45.4151_12.0172.json,custom
45.416352,12.030032,ov_pizz_art_45.4164_12.0300,Pizz'Art,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/pizzart_45.4164_12.0300.json,custom
45.416843,12.035547,ov_casa_del_galletto_45.4168_12.0355,Casa del Galletto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/casa_del_galletto_45.4168_12.0355.json,custom
45.417170,12.035286,ov_ristorante_belvedere_45.4172_12.0353,Ristorante Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/ristorante_belvedere_45.4172_12.0353.json,custom
45.417288,12.037776,ov_pizzalonga_45.4173_12.0378,Pizzalonga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/pizzalonga_45.4173_12.0378.json,custom
45.417123,12.036555,ov_h_masa_sushi_45.4171_12.0366,H Masa Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/h_masa_sushi_45.4171_12.0366.json,custom
45.417611,12.044749,ov_da_giorgio_45.4176_12.0447,Da Giorgio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/da_giorgio_45.4176_12.0447.json,custom
45.417119,12.027460,ov_miami_caff__45.4171_12.0275,MiAmi Caffè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/fiesso_dartico/pages/miami_caff_45.4171_12.0275.json,custom
