# lat,lng,id,name,building_type,type,url,page_type
# leivi -- Tutti
44.375120,9.458910,ov_crr_il_sorriso_44.3751_9.4589,CRR Il Sorriso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/leivi/pages/crr_il_sorriso_44.3751_9.4589.json,custom
44.334585,9.322599,ov_pizzeria_rostio_44.3346_9.3226,Pizzeria Rostio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/leivi/pages/pizzeria_rostio_44.3346_9.3226.json,custom
44.343635,9.328530,ov_al_cioso_44.3436_9.3285,Al Cioso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/leivi/pages/al_cioso_44.3436_9.3285.json,custom
44.352858,9.302040,ov_ristorante_pepen_44.3529_9.3020,Ristorante Pepen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/leivi/pages/ristorante_pepen_44.3529_9.3020.json,custom
44.353030,9.302110,ov_trattoria_al_bocco_44.3530_9.3021,Trattoria Al Bocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/leivi/pages/trattoria_al_bocco_44.3530_9.3021.json,custom
