# lat,lng,id,name,building_type,type
# Diamante -- Tutti
39.683032,15.816656,ov_ospedale_di_belvedere_39.6830_15.8167,Ospedale Di Belvedere,HOSPITAL,hospital
39.715510,15.809473,ov_oin__pizzeria_39.7155_15.8095,Oinè Pizzeria,RESTAURANT,ristorante
39.713543,15.808969,ov_lido_unico_beach_39.7135_15.8090,Lido Unico Beach,RESTAURANT,ristorante
39.716013,15.807054,ov_tartana_club_39.7160_15.8071,Tartana Club,RESTAURANT,ristorante
39.712186,15.807744,ov_ristorante_da_lucio_cirella_39.7122_15.8077,Ristorante da lucio cirella,RESTAURANT,ristorante
39.712545,15.809046,ov_il_rusticano_39.7125_15.8090,Il Rusticano,RESTAURANT,ristorante
39.712506,15.809058,ov_pizza_king_39.7125_15.8091,Pizza King,RESTAURANT,ristorante
39.713203,15.811268,ov_a_cantinella_39.7132_15.8113,A Cantinella,RESTAURANT,ristorante
39.713892,15.810477,ov_paninoteca_friggitoria_san_francesco_39.7139_15.8105,Paninoteca friggitoria San Francesco,RESTAURANT,ristorante
39.720776,15.810691,ov_jindai_39.7208_15.8107,Jindai,RESTAURANT,ristorante
39.720977,15.810676,ov_l_altrolato_beach_39.7210_15.8107,L'AltroLato Beach,RESTAURANT,ristorante
39.713500,15.821680,ov_aquarama___beach__restaurant__lounge_bar_39.7135_15.8217,"Aquarama - Beach, Restaurant, Lounge bar",RESTAURANT,ristorante
39.693492,15.824161,ov_panza_e_crianza_39.6935_15.8242,Panza e Crianza,RESTAURANT,ristorante
39.698260,15.817930,ov_ristorante_la_stella_dell_isola_39.6983_15.8179,Ristorante La Stella Dell'Isola,RESTAURANT,ristorante
39.700470,15.814432,ov_a__capanna_39.7005_15.8144,A' Capanna,RESTAURANT,ristorante
39.708540,15.811912,ov_pizzeria_la_novita_39.7085_15.8119,Pizzeria La Novita,RESTAURANT,ristorante
39.708311,15.811877,ov_delizie_siciliane_39.7083_15.8119,Delizie Siciliane,RESTAURANT,ristorante
39.694671,15.814265,ov_ristorante_cristina_sole_pizza_39.6947_15.8143,Ristorante Cristina Sole Pizza,RESTAURANT,ristorante
39.693681,15.814455,ov_lido_cristina_39.6937_15.8145,Lido Cristina,RESTAURANT,ristorante
39.693318,15.814604,ov_lido_ipanema_diamante_39.6933_15.8146,Lido Ipanema Diamante,RESTAURANT,ristorante
39.695598,15.815647,ov_ristorante_sala_ricevimenti_a_capanna_39.6956_15.8156,Ristorante Sala Ricevimenti A Capanna,RESTAURANT,ristorante
39.696403,15.817804,ov_ristorante_la_taverna_del_conte_39.6964_15.8178,Ristorante La Taverna Del Conte,RESTAURANT,ristorante
39.685175,15.816323,ov_palu__39.6852_15.8163,Paluà,RESTAURANT,ristorante
39.683916,15.816230,ov_lido_albatros___ristorante_39.6839_15.8162,Lido Albatros - Ristorante,RESTAURANT,ristorante
39.682020,15.816470,ov_da_filippo_hot_pizza_39.6820_15.8165,Da Filippo Hot Pizza,RESTAURANT,ristorante
39.680490,15.817959,ov_pizzeria_bruxelles_39.6805_15.8180,Pizzeria Bruxelles,RESTAURANT,ristorante
39.679183,15.818622,ov_frija_e_fuja_39.6792_15.8186,Frija e Fuja,RESTAURANT,ristorante
39.678141,15.818520,ov_a_du_zi_toton_39.6781_15.8185,A Du Zi Toton,RESTAURANT,ristorante
39.678303,15.818270,ov_el_sombrero_cantina_mexicana_39.6783_15.8183,El Sombrero Cantina Mexicana,RESTAURANT,ristorante
39.678077,15.817286,ov_a_casa_mia_ristorante_griglieria_39.6781_15.8173,A Casa Mia Ristorante-Griglieria,RESTAURANT,ristorante
39.678280,15.817780,ov_cala_la_pasta_39.6783_15.8178,Cala la pasta,RESTAURANT,ristorante
39.677918,15.817819,ov_osteria_dei_murales_39.6779_15.8178,osteria dei murales,RESTAURANT,ristorante
39.677943,15.817865,ov_bacio_salato_39.6779_15.8179,Bacio Salato,RESTAURANT,ristorante
39.677495,15.817834,ov_lo_spuntino_sul_mare_39.6775_15.8178,Lo Spuntino sul Mare,RESTAURANT,ristorante
39.677622,15.817506,ov_pizzeria_a_cannarutia_39.6776_15.8175,Pizzeria A Cannarutia,RESTAURANT,ristorante
39.677812,15.817185,ov_il_gigante_sushi_bar_39.6778_15.8172,Il Gigante Sushi Bar,RESTAURANT,ristorante
39.677711,15.817117,ov_bassa_marea_39.6777_15.8171,Bassa Marea,RESTAURANT,ristorante
39.677165,15.818486,ov_pizzeria_del_corso_39.6772_15.8185,Pizzeria del Corso,RESTAURANT,ristorante
39.678008,15.818280,ov_da_nerone_39.6780_15.8183,Da Nerone,RESTAURANT,ristorante
39.677588,15.818361,ov_a_cucchiarella_39.6776_15.8184,A Cucchiarella,RESTAURANT,ristorante
39.677499,15.818356,ov_sapore_di_mare_39.6775_15.8184,Sapore di Mare,RESTAURANT,ristorante
39.677480,15.818700,ov__n_nmare___nristorante_specialit__di_pes_39.6775_15.8187,\n\nMARE' \nRistorante Specialità di pesce,RESTAURANT,ristorante
39.677047,15.819013,ov_la_locanda_di_zio_rocco_39.6770_15.8190,La Locanda Di Zio Rocco,RESTAURANT,ristorante
39.676900,15.819126,ov_u_marinar_restaurant_39.6769_15.8191,U Marinar Restaurant,RESTAURANT,ristorante
