# lat,lng,id,name,building_type,type,url,page_type
# Porto Potenza Picena -- Tutti
43.370763,13.692900,osm_istituto_santo_stefano_43.3708_13.6929,Istituto Santo Stefano,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/istituto_santo_stefano_43.3708_13.6929.json,custom
43.364155,13.687670,osm_l_antico_uliveto_43.3642_13.6877,L'Antico Uliveto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/lantico_uliveto_43.3642_13.6877.json,custom
43.359116,13.699074,osm_giamirma_ristorante_43.3591_13.6991,Giamirma Ristorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/giamirma_ristorante_43.3591_13.6991.json,custom
43.359952,13.698631,osm_nettuno_43.3600_13.6986,Nettuno,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/nettuno_43.3600_13.6986.json,custom
43.348597,13.702085,osm_rosso_di_sera_43.3486_13.7021,Rosso di Sera,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/rosso_di_sera_43.3486_13.7021.json,custom
43.358640,13.698488,osm_il_pontino_43.3586_13.6985,Il Pontino,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/il_pontino_43.3586_13.6985.json,custom
43.355167,13.698889,osm_lii_sushi_43.3552_13.6989,Lii Sushi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/lii_sushi_43.3552_13.6989.json,custom
43.366573,13.693888,osm_da_rosa_pizzeria_risorante_43.3666_13.6939,Da Rosa Pizzeria Risorante,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/da_rosa_pizzeria_risorante_43.3666_13.6939.json,custom
43.366225,13.695147,osm_ristorante_hotel_lido_43.3662_13.6951,Ristorante Hotel Lido,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/ristorante_hotel_lido_43.3662_13.6951.json,custom
43.364605,13.694694,osm_il_sombrero_43.3646_13.6947,Il Sombrero,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/il_sombrero_43.3646_13.6947.json,custom
43.359191,13.697546,osm_pizzeria_da_sonietta_43.3592_13.6975,Pizzeria da Sonietta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/pizzeria_da_sonietta_43.3592_13.6975.json,custom
43.356959,13.699796,osm_barracuda_43.3570_13.6998,Barracuda,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/barracuda_43.3570_13.6998.json,custom
43.358919,13.699195,osm_giri_beach_43.3589_13.6992,Giri Beach,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/porto_potenza_picena/pages/giri_beach_43.3589_13.6992.json,custom
