# lat,lng,id,name,building_type,type,url,page_type
# Rutigliano -- Tutti
41.008862,16.997480,ov_ospedale_41.0089_16.9975,Ospedale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rutigliano/pages/ospedale_41.0089_16.9975.json,custom
40.957252,16.918413,ov_enjoy_caf__di_palmini_giuseppe_40.9573_16.9184,Enjoy Cafè di Palmini Giuseppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rutigliano/pages/enjoy_caf_di_palmini_giuseppe_40.9573_16.9184.json,custom
41.021147,16.998200,ov_le_beef_bisteccheria_41.0211_16.9982,Le Beef Bisteccheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rutigliano/pages/le_beef_bisteccheria_41.0211_16.9982.json,custom
41.005536,16.979854,ov_piazza_grande_food_cafe_41.0055_16.9799,Piazza Grande Food Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rutigliano/pages/piazza_grande_food_cafe_41.0055_16.9799.json,custom
41.003070,16.986539,ov_masseria_agrituristica_lama_san_giorgio_41.0031_16.9865,Masseria Agrituristica Lama San Giorgio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rutigliano/pages/masseria_agrituristica_lama_san_giorgio_41.0031_16.9865.json,custom
41.020837,16.998422,ov_mistral_cafe_41.0208_16.9984,Mistral Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rutigliano/pages/mistral_cafe_41.0208_16.9984.json,custom
41.009123,16.999067,ov_millennium_fitness_club_41.0091_16.9991,Millennium Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/rutigliano/pages/millennium_fitness_club_41.0091_16.9991.json,custom
