# lat,lng,id,name,building_type,type,url,page_type
# Bressanone -- Tutti
46.724356,11.647837,ov_krankenhaus_brixen_46.7244_11.6478,Krankenhaus Brixen,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/krankenhaus_brixen_46.7244_11.6478.json,custom
46.675698,11.629815,ov_pizzeria_restaurant_hofkeller_46.6757_11.6298,Pizzeria Restaurant Hofkeller,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/pizzeria_restaurant_hofkeller_46.6757_11.6298.json,custom
46.675774,11.631916,ov_geb_uberbacher_snc_46.6758_11.6319,Geb Uberbacher SNC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/geb_uberbacher_snc_46.6758_11.6319.json,custom
46.668115,11.692323,ov_gasthof_jagerheim_46.6681_11.6923,Gasthof Jagerheim,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/gasthof_jagerheim_46.6681_11.6923.json,custom
46.675986,11.710008,ov_yera_46.6760_11.7100,Yera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/yera_46.6760_11.7100.json,custom
46.727519,11.652978,ov_mein_bistro___brixen_46.7275_11.6530,Mein Bistro - Brixen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/mein_bistro_-_brixen_46.7275_11.6530.json,custom
46.721389,11.652572,ov_vip_pizzeria___restaurant_46.7214_11.6526,VIP Pizzeria & Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/vip_pizzeria_restaurant_46.7214_11.6526.json,custom
46.719060,11.654408,ov_la_cantinota_46.7191_11.6544,La Cantinota,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/la_cantinota_46.7191_11.6544.json,custom
46.719205,11.653614,ov_apostelstube_46.7192_11.6536,Apostelstube,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/apostelstube_46.7192_11.6536.json,custom
46.717308,11.654864,ov_agor__21_46.7173_11.6549,Agorà 21,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/agor_21_46.7173_11.6549.json,custom
46.713771,11.653335,ov_b_rgers___kings_46.7138_11.6533,Börgers & Kings,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/brgers_kings_46.7138_11.6533.json,custom
46.715488,11.654083,ov_k2_ristorante_pizzeria_46.7155_11.6541,K2 Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/k2_ristorante_pizzeria_46.7155_11.6541.json,custom
46.715850,11.652039,ov_ristorante_bella_cina_46.7158_11.6520,Ristorante Bella Cina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/ristorante_bella_cina_46.7158_11.6520.json,custom
46.717547,11.651588,ov_skorpion_express_brixen_46.7175_11.6516,Skorpion Express Brixen,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/skorpion_express_brixen_46.7175_11.6516.json,custom
46.719812,11.650717,ov_muye_46.7198_11.6507,Muye,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/muye_46.7198_11.6507.json,custom
46.710794,11.630852,ov_gasthof_weidmannshof_46.7108_11.6309,Gasthof Weidmannshof,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/gasthof_weidmannshof_46.7108_11.6309.json,custom
46.685558,11.627468,ov_pizzeria_harpf_46.6856_11.6275,Pizzeria Harpf,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/pizzeria_harpf_46.6856_11.6275.json,custom
46.690152,11.642854,ov_ze_p____italian_manufacturer_of_buffet_i_46.6902_11.6429,Ze Pé - Italian manufacturer of buffet items & service troll,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/ze_p_-_italian_manufacturer_of_buffet_it_46.6902_11.6429.json,custom
46.692125,11.642737,ov_restaurante_bar_kampan_46.6921_11.6427,Restaurante Bar Kampan,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/restaurante_bar_kampan_46.6921_11.6427.json,custom
46.695546,11.645494,ov_restaurant_boulevard_46.6955_11.6455,Restaurant Boulevard,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/bressanone/pages/restaurant_boulevard_46.6955_11.6455.json,custom
