# lat,lng,id,name,building_type,type,url,page_type
# santagata_li_battiati -- Tutti
37.558847,15.079773,ov_the_smuggler_37.5588_15.0798,The Smuggler,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/the_smuggler_37.5588_15.0798.json,custom
37.558597,15.081336,ov_vittorio_veneto_caff__37.5586_15.0813,Vittorio Veneto Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/vittorio_veneto_caff_37.5586_15.0813.json,custom
37.556586,15.081137,ov_l_angolo_37.5566_15.0811,L'Angolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/langolo_37.5566_15.0811.json,custom
37.555153,15.073835,ov_noya_37.5552_15.0738,Noya,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/noya_37.5552_15.0738.json,custom
37.553268,15.080138,ov_caf__battiati_37.5533_15.0801,Café Battiati,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/caf_battiati_37.5533_15.0801.json,custom
37.543982,15.090237,ov_opq_benzibar_37.5440_15.0902,Opq BenziBar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/opq_benzibar_37.5440_15.0902.json,custom
37.550604,15.086684,ov_stay_cafe_balatelle_centro_iqos_37.5506_15.0867,Stay cafe Balatelle Centro IQOS,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/stay_cafe_balatelle_centro_iqos_37.5506_15.0867.json,custom
37.568706,15.086487,ov_new_shanti_gym_37.5687_15.0865,New Shanti Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/new_shanti_gym_37.5687_15.0865.json,custom
37.561356,15.082137,ov_palestra_jeunesse_37.5614_15.0821,Palestra Jeunesse,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/palestra_jeunesse_37.5614_15.0821.json,custom
37.558506,15.076168,ov_atlas_fitness_club_37.5585_15.0762,Atlas Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/atlas_fitness_club_37.5585_15.0762.json,custom
37.558102,15.075850,ov_asd_saliba_tango_37.5581_15.0758,ASD Saliba Tango,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/asd_saliba_tango_37.5581_15.0758.json,custom
37.557787,15.079358,ov_sporting_center_santa_maria_della_merced_37.5578_15.0794,Sporting Center Santa Maria Della Mercede,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/sporting_center_santa_maria_della_merced_37.5578_15.0794.json,custom
37.557529,15.079698,ov_indoor_club_postura_37.5575_15.0797,Indoor Club Postura,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/indoor_club_postura_37.5575_15.0797.json,custom
37.557474,15.074100,ov_centro_ginnastica_medica_37.5575_15.0741,Centro ginnastica medica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/centro_ginnastica_medica_37.5575_15.0741.json,custom
37.556472,15.080384,ov_xtreme_fitness_37.5565_15.0804,Xtreme fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/xtreme_fitness_37.5565_15.0804.json,custom
37.555519,15.074431,ov_ronart_ballet_37.5555_15.0744,Ronart Ballet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/ronart_ballet_37.5555_15.0744.json,custom
37.555605,15.074107,ov_palabattiati_37.5556_15.0741,Palabattiati,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/palabattiati_37.5556_15.0741.json,custom
37.555690,15.074360,ov_let_s_dance___scuola_danza_37.5557_15.0744,Let's Dance - Scuola Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/lets_dance_-_scuola_danza_37.5557_15.0744.json,custom
37.554952,15.074610,ov_ilovepilates_sant_agata_li_battiati_37.5550_15.0746,ILovePilates Sant'Agata Li Battiati,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/ilovepilates_santagata_li_battiati_37.5550_15.0746.json,custom
37.554990,15.081890,ov_studio_fitness_battiati_37.5550_15.0819,Studio Fitness Battiati,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/studio_fitness_battiati_37.5550_15.0819.json,custom
37.545856,15.079740,ov_glory_dance_academy_a_s_d__37.5459_15.0797,Glory Dance Academy a.s.d.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/glory_dance_academy_asd_37.5459_15.0797.json,custom
37.544767,15.079662,ov_expression_dance_37.5448_15.0797,Expression Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/expression_dance_37.5448_15.0797.json,custom
37.520870,15.103310,ov_muay_thai_elephants_fighters__catania_37.5209_15.1033,MUAY THAI Elephants Fighters  Catania,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/muay_thai_elephants_fighters_catania_37.5209_15.1033.json,custom
37.557736,15.082279,ov_sant_agata_li_battiati___biblioteca_comu_37.5577_15.0823,Sant'agata Li Battiati - Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/santagata_li_battiati/pages/santagata_li_battiati_-_biblioteca_comun_37.5577_15.0823.json,custom
