# lat,lng,id,name,building_type,type,url,page_type
# cesate -- Tutti
45.599821,9.074865,ov_azienda_ospedaliera_g__salvini_45.5998_9.0749,Azienda Ospedaliera G. Salvini,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/azienda_ospedaliera_g_salvini_45.5998_9.0749.json,custom
45.593669,9.071452,ov_chick___pizza_45.5937_9.0715,Chick & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/chick_pizza_45.5937_9.0715.json,custom
45.599760,9.079680,ov_il_chiosco_magico_di_gaiamente_45.5998_9.0797,Il Chiosco Magico di Gaiamente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/il_chiosco_magico_di_gaiamente_45.5998_9.0797.json,custom
45.597314,9.079161,ov_passaparola_45.5973_9.0792,Passaparola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/passaparola_45.5973_9.0792.json,custom
45.596485,9.074199,ov_happyeasy_cesate_45.5965_9.0742,HappyEasy Cesate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/happyeasy_cesate_45.5965_9.0742.json,custom
45.598330,9.066780,ov_barpizzeriabocachica_45.5983_9.0668,BarpizzeriaBocachica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/barpizzeriabocachica_45.5983_9.0668.json,custom
45.601862,9.084539,ov_ristorante_pizzicheria_gandula_45.6019_9.0845,Ristorante pizzicheria Gandula,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/ristorante_pizzicheria_gandula_45.6019_9.0845.json,custom
45.602425,9.078802,ov_due_fratelli_45.6024_9.0788,Due Fratelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/due_fratelli_45.6024_9.0788.json,custom
45.602146,9.095390,ov_grilldelgrillo_bisteccheria_45.6021_9.0954,Grilldelgrillo Bisteccheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/grilldelgrillo_bisteccheria_45.6021_9.0954.json,custom
45.602164,9.095462,ov_il_grill_del_grillo_45.6022_9.0955,Il Grill del Grillo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/il_grill_del_grillo_45.6022_9.0955.json,custom
45.587447,9.067601,ov_bar_osteria_biscia_45.5874_9.0676,Bar Osteria Biscia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/bar_osteria_biscia_45.5874_9.0676.json,custom
45.593314,9.078064,osm_sfizio_di_pizza_45.5933_9.0781,Sfizio di pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/sfizio_di_pizza_45.5933_9.0781.json,custom
45.596443,9.097933,osm_fabbrica_di_pedavena_cesate_45.5964_9.0979,Fabbrica di Pedavena Cesate,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/fabbrica_di_pedavena_cesate_45.5964_9.0979.json,custom
45.561150,8.770610,ov_il_grill_del_grillo_45.5611_8.7706,Il Grill del Grillo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/il_grill_del_grillo_45.5611_8.7706.json,custom
45.587728,9.076449,ov_bar_mario_cesate_45.5877_9.0764,Bar Mario Cesate,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/bar_mario_cesate_45.5877_9.0764.json,custom
45.591038,9.071537,ov_bar_popolare_2_50_45.5910_9.0715,Bar Popolare 2.50,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/bar_popolare_250_45.5910_9.0715.json,custom
45.593779,9.071710,ov_ca__puccini_45.5938_9.0717,Ca' Puccini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/ca_puccini_45.5938_9.0717.json,custom
45.593433,9.076367,ov_l_imperfetto_45.5934_9.0764,L'imperfetto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cesate/pages/limperfetto_45.5934_9.0764.json,custom
