# lat,lng,id,name,building_type,type,url,page_type
# Colognola ai Colli -- Tutti
45.417060,11.166890,ov_poliambulatorio_galeno_45.4171_11.1669,Poliambulatorio Galeno,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/poliambulatorio_galeno_45.4171_11.1669.json,custom
45.417102,11.166736,ov_ristorante_posta_vecia_45.4171_11.1667,Ristorante Posta Vecia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/ristorante_posta_vecia_45.4171_11.1667.json,custom
45.415229,11.181506,ov_il_filo_45.4152_11.1815,Il Filo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/il_filo_45.4152_11.1815.json,custom
45.414609,11.186287,ov_pizzeria_treppi_45.4146_11.1863,Pizzeria Treppi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/pizzeria_treppi_45.4146_11.1863.json,custom
45.409695,11.215857,ov_burgerino_colognola_45.4097_11.2159,Burgerino Colognola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/burgerino_colognola_45.4097_11.2159.json,custom
45.410158,11.213829,ov_ristorante_pizzeria_la_colomba_45.4102_11.2138,Ristorante Pizzeria La Colomba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/ristorante_pizzeria_la_colomba_45.4102_11.2138.json,custom
45.422985,11.205574,ov_stilla_ristorante_e_camere_45.4230_11.2056,Stilla ristorante e camere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/stilla_ristorante_e_camere_45.4230_11.2056.json,custom
45.425820,11.196792,ov_agriturismo_monte_sassetto_45.4258_11.1968,Agriturismo Monte Sassetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/agriturismo_monte_sassetto_45.4258_11.1968.json,custom
45.435401,11.187255,ov_osteria_da_maria_rosa_45.4354_11.1873,Osteria da Maria Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/osteria_da_maria_rosa_45.4354_11.1873.json,custom
45.433330,11.193420,ov_trattoria_al_portego_45.4333_11.1934,Trattoria Al Portego,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/trattoria_al_portego_45.4333_11.1934.json,custom
45.432845,11.191262,ov_trattoria_battisti_45.4328_11.1913,Trattoria Battisti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/colognola_ai_colli/pages/trattoria_battisti_45.4328_11.1913.json,custom
