# lat,lng,id,name,building_type,type,url,page_type
# Mezzolombardo -- Tutti
46.210992,11.094754,ov_mezzolombardo_trento__italy_46.2110_11.0948,"Mezzolombardo Trento, Italy",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/mezzolombardo_trento_italy_46.2110_11.0948.json,custom
46.209119,11.094190,ov_ristorante_pizzeria_al_duomo___cucina_ti_46.2091_11.0942,Ristorante Pizzeria Al Duomo | Cucina Tipica Trentina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/ristorante_pizzeria_al_duomo_cucina_tipi_46.2091_11.0942.json,custom
46.208945,11.093600,ov_ristorante_al_parco_46.2089_11.0936,Ristorante Al Parco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/ristorante_al_parco_46.2089_11.0936.json,custom
46.209701,11.092512,ov_mangiamondo_snc_46.2097_11.0925,Mangiamondo Snc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/mangiamondo_snc_46.2097_11.0925.json,custom
46.208314,11.094262,ov_tecnohotel_s_a_s_46.2083_11.0943,Tecnohotel s.a.s,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/tecnohotel_sas_46.2083_11.0943.json,custom
46.208111,11.094088,osm_ristorante_pizzeria_mana_46.2081_11.0941,Ristorante Pizzeria Mana,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/ristorante_pizzeria_mana_46.2081_11.0941.json,custom
46.210974,11.090655,osm_hua_xing_46.2110_11.0907,Hua Xing,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/hua_xing_46.2110_11.0907.json,custom
46.211842,11.090804,osm_lo_sfizio_46.2118_11.0908,Lo Sfizio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/lo_sfizio_46.2118_11.0908.json,custom
46.215799,11.088040,osm_roma_46.2158_11.0880,Roma,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/roma_46.2158_11.0880.json,custom
46.211742,11.090839,osm_istanbul_pizza___kebap_46.2117_11.0908,Istanbul Pizza & Kebap,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/istanbul_pizza_kebap_46.2117_11.0908.json,custom
46.211071,11.090491,osm_crispy_pizzeria_46.2111_11.0905,Crispy Pizzeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/crispy_pizzeria_46.2111_11.0905.json,custom
46.209652,11.092496,osm_mangiamondo_46.2097_11.0925,Mangiamondo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/mangiamondo_46.2097_11.0925.json,custom
46.217487,11.093119,osm_la_piana_rotaliana_46.2175_11.0931,La Piana Rotaliana,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/la_piana_rotaliana_46.2175_11.0931.json,custom
46.209235,11.094092,osm_ristorante_pizzeria_al_duomo_46.2092_11.0941,Ristorante Pizzeria Al Duomo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/ristorante_pizzeria_al_duomo_46.2092_11.0941.json,custom
46.226686,11.072766,osm_ai_piani_ristorante_pizzeria_46.2267_11.0728,Ai Piani Ristorante Pizzeria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/mezzolombardo/pages/ai_piani_ristorante_pizzeria_46.2267_11.0728.json,custom
