# lat,lng,id,name,building_type,type,url,page_type
# gissi -- Tutti
42.053195,14.576038,ov_pianospedale_42.0532_14.5760,Pianospedale,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/gissi/pages/pianospedale_42.0532_14.5760.json,custom
42.013459,14.546758,ov_ristorante_la_griglia_42.0135_14.5468,Ristorante La Griglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/gissi/pages/ristorante_la_griglia_42.0135_14.5468.json,custom
42.011435,14.547492,ov_trattoria_paperino_42.0114_14.5475,Trattoria Paperino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/gissi/pages/trattoria_paperino_42.0114_14.5475.json,custom
42.016152,14.545913,ov_hotel_ristorante_santa_lucia_42.0162_14.5459,Hotel Ristorante Santa Lucia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/gissi/pages/hotel_ristorante_santa_lucia_42.0162_14.5459.json,custom
42.021264,14.545675,ov_ristorante_n_donio_42.0213_14.5457,Ristorante N'donio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/gissi/pages/ristorante_ndonio_42.0213_14.5457.json,custom
42.018626,14.543326,ov_hamburgheria_little_italy_42.0186_14.5433,Hamburgheria little italy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/gissi/pages/hamburgheria_little_italy_42.0186_14.5433.json,custom
42.019391,14.544193,ov_ristorante_pizzeria_dal_cianci_42.0194_14.5442,Ristorante Pizzeria Dal Cianci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/gissi/pages/ristorante_pizzeria_dal_cianci_42.0194_14.5442.json,custom
42.064869,14.591780,ov_bar_ristorante_l_incontro_42.0649_14.5918,Bar Ristorante L'incontro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/gissi/pages/bar_ristorante_lincontro_42.0649_14.5918.json,custom
42.062961,14.591114,ov_bar_maila_42.0630_14.5911,Bar Maila,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/gissi/pages/bar_maila_42.0630_14.5911.json,custom
42.018461,14.545789,ov_million_bar_gissi_42.0185_14.5458,Million bar Gissi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/gissi/pages/million_bar_gissi_42.0185_14.5458.json,custom
42.019836,14.544631,ov_bar_gelateria_soriano_42.0198_14.5446,Bar Gelateria Soriano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/gissi/pages/bar_gelateria_soriano_42.0198_14.5446.json,custom
42.016278,14.545779,ov_palestra_body_planet_42.0163_14.5458,Palestra Body Planet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/gissi/pages/palestra_body_planet_42.0163_14.5458.json,custom
42.020811,14.539427,ov_centro_polisportivo_aldo_moro_42.0208_14.5394,Centro Polisportivo Aldo Moro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/gissi/pages/centro_polisportivo_aldo_moro_42.0208_14.5394.json,custom
