# lat,lng,id,name,building_type,type,url,page_type
# Certosa di Pavia -- Tutti
45.249748,9.131521,ov_ospedale_s_matteo_45.2497_9.1315,Ospedale S Matteo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/ospedale_s_matteo_45.2497_9.1315.json,custom
45.256340,9.145010,ov_gracar_bistrot_pavese_45.2563_9.1450,GraCar Bistrot Pavese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/gracar_bistrot_pavese_45.2563_9.1450.json,custom
45.259450,9.115525,ov_agriturismo_granai_certosa_45.2595_9.1155,Agriturismo Granai Certosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/agriturismo_granai_certosa_45.2595_9.1155.json,custom
45.260387,9.115555,ov_granai_certosa_45.2604_9.1156,Granai Certosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/granai_certosa_45.2604_9.1156.json,custom
45.231322,9.125390,ov_fattoria_l_oasi_agriturismo_45.2313_9.1254,Fattoria l'oasi agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/fattoria_loasi_agriturismo_45.2313_9.1254.json,custom
45.246010,9.114790,ov_il_minitrap_45.2460_9.1148,Il MiniTrap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/il_minitrap_45.2460_9.1148.json,custom
45.245989,9.115180,ov_pizzeria_trattoria_samperone_45.2460_9.1152,Pizzeria Trattoria Samperone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/pizzeria_trattoria_samperone_45.2460_9.1152.json,custom
45.251465,9.130852,ov_prima_luna_pizzeria_kebab_45.2515_9.1309,Prima Luna Pizzeria kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/prima_luna_pizzeria_kebab_45.2515_9.1309.json,custom
45.255379,9.129344,ov_la_bruschetta_due_45.2554_9.1293,La Bruschetta Due,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/la_bruschetta_due_45.2554_9.1293.json,custom
45.253170,9.131028,ov_trattoria_certosa_45.2532_9.1310,Trattoria Certosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/trattoria_certosa_45.2532_9.1310.json,custom
45.252868,9.130359,ov_nuova_fenice_45.2529_9.1304,Nuova Fenice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/nuova_fenice_45.2529_9.1304.json,custom
45.252363,9.130927,ov_antica_osteria_italia_45.2524_9.1309,Antica Osteria Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/antica_osteria_italia_45.2524_9.1309.json,custom
45.254972,9.146550,ov_amare_45.2550_9.1466,Amare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/amare_45.2550_9.1466.json,custom
45.231201,9.125315,ov_birrificio_rurale_45.2312_9.1253,Birrificio Rurale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/birrificio_rurale_45.2312_9.1253.json,custom
45.253285,9.131706,ov_bar_sport_45.2533_9.1317,Bar Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/bar_sport_45.2533_9.1317.json,custom
45.253951,9.135434,ov_risto_victoria_cafe_45.2540_9.1354,Risto Victoria Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/risto_victoria_cafe_45.2540_9.1354.json,custom
45.254658,9.146592,osm_bar_tabacchi_ingenito_franco_45.2547_9.1466,Bar Tabacchi Ingenito Franco,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/bar_tabacchi_ingenito_franco_45.2547_9.1466.json,custom
45.231912,9.124509,osm_bar_il_ritrovo_45.2319_9.1245,Bar Il Ritrovo,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/bar_il_ritrovo_45.2319_9.1245.json,custom
45.252410,9.129736,ov_yogananda_srf_italia_45.2524_9.1297,Yogananda-SRF-Italia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/yogananda-srf-italia_45.2524_9.1297.json,custom
45.254295,9.125833,ov_tc_certosa_asd_45.2543_9.1258,TC Certosa Asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/tc_certosa_asd_45.2543_9.1258.json,custom
45.254441,9.127799,ov_stay_dance_45.2544_9.1278,Stay Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/stay_dance_45.2544_9.1278.json,custom
45.254059,9.134243,ov_nuovo_san_siro_museum_stadio_meazza_45.2541_9.1342,Nuovo San Siro Museum stadio Meazza,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/nuovo_san_siro_museum_stadio_meazza_45.2541_9.1342.json,custom
45.253926,9.129321,osm_ufficio_postale_certosa_di_pavia_45.2539_9.1293,Ufficio Postale Certosa di Pavia,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/ufficio_postale_certosa_di_pavia_45.2539_9.1293.json,custom
45.254323,9.129214,ov_biblioteca_comunale_45.2543_9.1292,Biblioteca Comunale,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/certosa_di_pavia/pages/biblioteca_comunale_45.2543_9.1292.json,custom
