# lat,lng,id,name,building_type,type,url,page_type
# Alberobello -- Tutti
40.788540,17.241730,ov_alberobello_com_40.7885_17.2417,Alberobello.com,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/alberobellocom_40.7885_17.2417.json,custom
40.767587,17.249702,ov_le_arcate_40.7676_17.2497,Le Arcate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/le_arcate_40.7676_17.2497.json,custom
40.765175,17.231835,ov_arboris_belli_pizzeria_con_cucina_40.7652_17.2318,Arboris Belli Pizzeria con cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/arboris_belli_pizzeria_con_cucina_40.7652_17.2318.json,custom
40.780296,17.244546,ov_puglianova_40.7803_17.2445,Puglianova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/puglianova_40.7803_17.2445.json,custom
40.779730,17.245140,ov_newynd_40.7797_17.2451,Newynd,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/newynd_40.7797_17.2451.json,custom
40.777679,17.238092,ov_basilico_rosso_40.7777_17.2381,Basilico Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/basilico_rosso_40.7777_17.2381.json,custom
40.780763,17.234817,ov_inari_alberobello_40.7808_17.2348,Inari Alberobello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/inari_alberobello_40.7808_17.2348.json,custom
40.781028,17.234661,ov_salumeria_il_salumaio_dei_trulli_40.7810_17.2347,Salumeria Il Salumaio dei Trulli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/salumeria_il_salumaio_dei_trulli_40.7810_17.2347.json,custom
40.781831,17.236472,ov_la_locanda_del_gallo_40.7818_17.2365,La Locanda del Gallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/la_locanda_del_gallo_40.7818_17.2365.json,custom
40.781771,17.237385,ov_la_perla_dei_trulli_40.7818_17.2374,La Perla dei Trulli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/la_perla_dei_trulli_40.7818_17.2374.json,custom
40.782107,17.237807,ov_il_trullo_antico_40.7821_17.2378,Il Trullo Antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/il_trullo_antico_40.7821_17.2378.json,custom
40.782106,17.237819,ov_corte_dei_trulli_40.7821_17.2378,Corte dei Trulli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/corte_dei_trulli_40.7821_17.2378.json,custom
40.781492,17.240157,ov_l_olmo_bello_40.7815_17.2402,L'Olmo Bello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/lolmo_bello_40.7815_17.2402.json,custom
40.782222,17.238993,ov_il_poeta_contadino_40.7822_17.2390,Il Poeta Contadino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/il_poeta_contadino_40.7822_17.2390.json,custom
40.782666,17.238468,ov_tremme_40.7827_17.2385,trEmme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/tremme_40.7827_17.2385.json,custom
40.782797,17.238734,ov_ristorante_terminal_40.7828_17.2387,Ristorante Terminal,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/ristorante_terminal_40.7828_17.2387.json,custom
40.783299,17.238531,ov_pozzo_contino_40.7833_17.2385,Pozzo Contino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/pozzo_contino_40.7833_17.2385.json,custom
40.783233,17.238164,ov_favola_in_tavola_ristorante_cucina___vin_40.7832_17.2382,Favola in Tavola Ristorante Cucina & Vini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/favola_in_tavola_ristorante_cucina_vini_40.7832_17.2382.json,custom
40.783119,17.237491,ov_fast_food_crispus_40.7831_17.2375,Fast Food Crispus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/fast_food_crispus_40.7831_17.2375.json,custom
40.783327,17.237737,ov_giardino_del_guercio___apulian_wine_tast_40.7833_17.2377,Giardino del Guercio - Apulian wine&taste,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/giardino_del_guercio_-_apulian_winetaste_40.7833_17.2377.json,custom
40.783319,17.236830,ov_coppino_alberobello_40.7833_17.2368,Coppino Alberobello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/coppino_alberobello_40.7833_17.2368.json,custom
40.783206,17.236927,ov_ristorante_trattoria_largotrevisani___al_40.7832_17.2369,Ristorante Trattoria LargoTrevisani - Alberobello - Puglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/ristorante_trattoria_largotrevisani_-_al_40.7832_17.2369.json,custom
40.782984,17.237049,ov_braceria_la_fontana_40.7830_17.2370,Braceria La Fontana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/braceria_la_fontana_40.7830_17.2370.json,custom
40.783078,17.236706,ov_100_metricubi_40.7831_17.2367,100 Metricubi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/100_metricubi_40.7831_17.2367.json,custom
40.782806,17.237695,ov_la_lira_focacceria_40.7828_17.2377,La Lira Focacceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/la_lira_focacceria_40.7828_17.2377.json,custom
40.782808,17.238129,ov_la_filibusteria___italian_street_food_40.7828_17.2381,La Filibusteria - ITALIAN STREET FOOD,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/la_filibusteria_-_italian_street_food_40.7828_17.2381.json,custom
40.782761,17.237762,ov_terrazza_sui_trulli_40.7828_17.2378,Terrazza sui Trulli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/terrazza_sui_trulli_40.7828_17.2378.json,custom
40.782619,17.237614,ov_casa_nova_il_ristorante_40.7826_17.2376,Casa Nova Il Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/casa_nova_il_ristorante_40.7826_17.2376.json,custom
40.782598,17.237612,ov_ristorante_casa_nova_40.7826_17.2376,Ristorante Casa Nova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/ristorante_casa_nova_40.7826_17.2376.json,custom
40.782205,17.238214,ov_ristorante_il_pinnacolo_40.7822_17.2382,Ristorante Il Pinnacolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/ristorante_il_pinnacolo_40.7822_17.2382.json,custom
40.782296,17.237666,ov_kama_food_40.7823_17.2377,Kama food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/kama_food_40.7823_17.2377.json,custom
40.782386,17.237132,ov_l_aratro_di_laera_domenico_40.7824_17.2371,L'Aratro Di Laera Domenico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/laratro_di_laera_domenico_40.7824_17.2371.json,custom
40.782700,17.236600,ov_osteriapuglia_40.7827_17.2366,OsteriaPuglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/osteriapuglia_40.7827_17.2366.json,custom
40.782328,17.234654,ov_trullo_sotterraneo_40.7823_17.2347,Trullo Sotterraneo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/trullo_sotterraneo_40.7823_17.2347.json,custom
40.783379,17.236389,ov_largo_dei_sapori_40.7834_17.2364,Largo Dei Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/largo_dei_sapori_40.7834_17.2364.json,custom
40.783390,17.235842,ov_fral__40.7834_17.2358,Fralé,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/fral_40.7834_17.2358.json,custom
40.783820,17.235694,ov_grilled_chicken_40.7838_17.2357,Grilled Chicken,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/grilled_chicken_40.7838_17.2357.json,custom
40.783488,17.236246,ov_noi_40.7835_17.2362,Noi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/noi_40.7835_17.2362.json,custom
40.783986,17.238169,ov_cos__com_era_40.7840_17.2382,Così Com'era,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/cos_comera_40.7840_17.2382.json,custom
40.783914,17.237141,ov_principotto_40.7839_17.2371,Principotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/principotto_40.7839_17.2371.json,custom
40.784136,17.237057,ov_my_land_40.7841_17.2371,My Land,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/my_land_40.7841_17.2371.json,custom
40.784503,17.237735,ov_cucina_dei_trulli_40.7845_17.2377,Cucina dei Trulli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/cucina_dei_trulli_40.7845_17.2377.json,custom
40.785901,17.234771,ov_i_trulli_di_nonna_nella_40.7859_17.2348,I Trulli di Nonna Nella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/puglia/alberobello/pages/i_trulli_di_nonna_nella_40.7859_17.2348.json,custom
