# lat,lng,id,name,building_type,type,url,page_type
# Caramagna Piemonte -- Tutti
44.792555,7.730612,ov_terapeuticenter_44.7926_7.7306,TerapeutiCenter,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/caramagna_piemonte/pages/terapeuticenter_44.7926_7.7306.json,custom
44.781464,7.739266,ov_la_famiglia_44.7815_7.7393,La famiglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/caramagna_piemonte/pages/la_famiglia_44.7815_7.7393.json,custom
44.772412,7.731289,ov_lago_dei_salici_2_44.7724_7.7313,Lago Dei Salici 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/caramagna_piemonte/pages/lago_dei_salici_2_44.7724_7.7313.json,custom
44.780451,7.740323,ov_trattoria_d_asti_44.7805_7.7403,Trattoria D'Asti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/caramagna_piemonte/pages/trattoria_dasti_44.7805_7.7403.json,custom
44.759588,7.742780,osm_lago_dei_salici_44.7596_7.7428,Lago dei Salici,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/caramagna_piemonte/pages/lago_dei_salici_44.7596_7.7428.json,custom
44.785360,7.735930,ov_last_one_to_die_crew_44.7854_7.7359,Last One to Die Crew,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/caramagna_piemonte/pages/last_one_to_die_crew_44.7854_7.7359.json,custom
44.776190,7.730000,ov_break___wash_44.7762_7.7300,Break & Wash,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/caramagna_piemonte/pages/break_wash_44.7762_7.7300.json,custom
44.778907,7.737417,ov_dario_s_44.7789_7.7374,Dario's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/caramagna_piemonte/pages/darios_44.7789_7.7374.json,custom
44.780725,7.738941,ov_dejav__caf__44.7807_7.7389,Dejavù Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/caramagna_piemonte/pages/dejav_caf_44.7807_7.7389.json,custom
44.788071,7.733230,ov_centro_sportivo_caramagna_44.7881_7.7332,Centro Sportivo Caramagna,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/caramagna_piemonte/pages/centro_sportivo_caramagna_44.7881_7.7332.json,custom
44.780358,7.740369,ov_biblioteca_di_rifreddo_44.7804_7.7404,Biblioteca di Rifreddo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/caramagna_piemonte/pages/biblioteca_di_rifreddo_44.7804_7.7404.json,custom
