# lat,lng,id,name,building_type,type,url,page_type
# villaga -- Tutti
45.378546,11.550147,ov_csm_centro_medico_45.3785_11.5501,Csm Centro Medico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villaga/pages/csm_centro_medico_45.3785_11.5501.json,custom
45.379902,11.518275,ov_barbagianni_45.3799_11.5183,Barbagianni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villaga/pages/barbagianni_45.3799_11.5183.json,custom
45.412627,11.506154,ov_trattoria_tipica_valle_verde_45.4126_11.5062,Trattoria Tipica Valle Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villaga/pages/trattoria_tipica_valle_verde_45.4126_11.5062.json,custom
45.409472,11.496111,ov_trattoria_berica_45.4095_11.4961,Trattoria Berica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villaga/pages/trattoria_berica_45.4095_11.4961.json,custom
45.404496,11.519851,ov_agriturismo_monte_degli_aromi_45.4045_11.5199,Agriturismo Monte degli Aromi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villaga/pages/agriturismo_monte_degli_aromi_45.4045_11.5199.json,custom
45.393338,11.538755,ov_agriturismo_belvedere_45.3933_11.5388,Agriturismo Belvedere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villaga/pages/agriturismo_belvedere_45.3933_11.5388.json,custom
45.402270,11.533275,ov_trattoria_sabrina_45.4023_11.5333,Trattoria Sabrina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villaga/pages/trattoria_sabrina_45.4023_11.5333.json,custom
45.379236,11.553423,ov_white_cafe_45.3792_11.5534,White Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villaga/pages/white_cafe_45.3792_11.5534.json,custom
45.406282,11.520238,ov_falesia_san_donato_45.4063_11.5202,Falesia San Donato,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villaga/pages/falesia_san_donato_45.4063_11.5202.json,custom
45.408470,11.509430,ov_artenatura_villaga_45.4085_11.5094,Artenatura Villaga,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villaga/pages/artenatura_villaga_45.4085_11.5094.json,custom
45.402607,11.533899,osm_poste_italiane_45.4026_11.5339,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/villaga/pages/poste_italiane_45.4026_11.5339.json,custom
