# lat,lng,id,name,building_type,type,url,page_type
# Camponogara -- Tutti
45.368875,12.089647,ov_multimedica_45.3689_12.0896,Multimedica,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/camponogara/pages/multimedica_45.3689_12.0896.json,custom
45.370206,12.088078,ov_trattoria_pizzeria_al_garibaldi_45.3702_12.0881,Trattoria pizzeria Al Garibaldi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/camponogara/pages/trattoria_pizzeria_al_garibaldi_45.3702_12.0881.json,custom
45.368242,12.094101,ov_aziz_kebab_45.3682_12.0941,Aziz kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/camponogara/pages/aziz_kebab_45.3682_12.0941.json,custom
45.370170,12.093435,ov_ristorante_vecchie_emozioni_45.3702_12.0934,Ristorante Vecchie Emozioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/camponogara/pages/ristorante_vecchie_emozioni_45.3702_12.0934.json,custom
45.398523,12.082107,ov_al_fogher_ristorante_pizzeria_45.3985_12.0821,Al Fogher Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/camponogara/pages/al_fogher_ristorante_pizzeria_45.3985_12.0821.json,custom
45.387808,12.087354,ov_pizzeria_antichi_sapori_la_pista_45.3878_12.0874,Pizzeria Antichi Sapori La Pista,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/camponogara/pages/pizzeria_antichi_sapori_la_pista_45.3878_12.0874.json,custom
45.387776,12.087633,ov_ristorante_la_pista_45.3878_12.0876,Ristorante La Pista,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/camponogara/pages/ristorante_la_pista_45.3878_12.0876.json,custom
45.386931,12.071912,ov_antica_griglieria_pizzeria_45.3869_12.0719,Antica Griglieria Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/camponogara/pages/antica_griglieria_pizzeria_45.3869_12.0719.json,custom
45.384674,12.092377,ov_ristorante_pizzeria_vecchio_corsaro_45.3847_12.0924,Ristorante Pizzeria Vecchio Corsaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/camponogara/pages/ristorante_pizzeria_vecchio_corsaro_45.3847_12.0924.json,custom
45.384995,12.096197,ov_pizzeria_la_coccinella_45.3850_12.0962,Pizzeria La Coccinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/camponogara/pages/pizzeria_la_coccinella_45.3850_12.0962.json,custom
45.385080,12.096603,ov_las_dos_fridas_by_karla_45.3851_12.0966,Las Dos Fridas by Karla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/camponogara/pages/las_dos_fridas_by_karla_45.3851_12.0966.json,custom
45.383679,12.097362,ov_speedy_pizza_45.3837_12.0974,Speedy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/camponogara/pages/speedy_pizza_45.3837_12.0974.json,custom
