# lat,lng,id,name,building_type,type,url,page_type
# taceno -- Tutti
46.020149,9.364221,ov_ospedale_gravedona_46.0201_9.3642,Ospedale Gravedona,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/taceno/pages/ospedale_gravedona_46.0201_9.3642.json,custom
46.022930,9.363879,ov_ristorante_tra_terra_e_mare_da_lisa_46.0229_9.3639,Ristorante Tra Terra e Mare da Lisa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/taceno/pages/ristorante_tra_terra_e_mare_da_lisa_46.0229_9.3639.json,custom
46.022668,9.363558,ov_pizzeria_taceno_46.0227_9.3636,Pizzeria Taceno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/taceno/pages/pizzeria_taceno_46.0227_9.3636.json,custom
46.023082,9.358673,ov_ristorante_bellano_46.0231_9.3587,Ristorante Bellano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/taceno/pages/ristorante_bellano_46.0231_9.3587.json,custom
46.050100,9.396220,ov_l_unica_46.0501_9.3962,L'unica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/taceno/pages/lunica_46.0501_9.3962.json,custom
46.022664,9.363518,osm_pizzeria_egitto_46.0227_9.3635,Pizzeria Egitto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/taceno/pages/pizzeria_egitto_46.0227_9.3635.json,custom
46.021264,9.363834,ov_biorca_centro_sportivo_46.0213_9.3638,Biorca Centro Sportivo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/taceno/pages/biorca_centro_sportivo_46.0213_9.3638.json,custom
46.022869,9.363903,ov_bar_ristorante_roma_46.0229_9.3639,Bar ristorante Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/taceno/pages/bar_ristorante_roma_46.0229_9.3639.json,custom
46.018762,9.362751,ov_bar_lago_pules_46.0188_9.3628,Bar Lago Pules,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/taceno/pages/bar_lago_pules_46.0188_9.3628.json,custom
46.022986,9.363972,osm_bar_ristorante_pizzeria_colibr__46.0230_9.3640,Bar ristorante pizzeria Colibrì,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/taceno/pages/bar_ristorante_pizzeria_colibr_46.0230_9.3640.json,custom
46.022771,9.363638,osm_poste_italiane_46.0228_9.3636,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/taceno/pages/poste_italiane_46.0228_9.3636.json,custom
