# lat,lng,id,name,building_type,type,url,page_type
# Montegiorgio -- Tutti
43.133871,13.539641,ov_ospedale_diotallevi_43.1339_13.5396,Ospedale Diotallevi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/ospedale_diotallevi_43.1339_13.5396.json,custom
43.125340,13.547620,ov_l__angolo_del_gusto_43.1253_13.5476,L' Angolo del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/l_angolo_del_gusto_43.1253_13.5476.json,custom
43.118027,13.546143,ov_laboratorio_piceno_della_dieta_mediterra_43.1180_13.5461,Laboratorio Piceno della Dieta Mediterranea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/laboratorio_piceno_della_dieta_mediterra_43.1180_13.5461.json,custom
43.106526,13.548914,ov_hotel_oscar_e_amorina___francis_43.1065_13.5489,Hotel Oscar e Amorina - Francis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/hotel_oscar_e_amorina_-_francis_43.1065_13.5489.json,custom
43.108727,13.553835,ov_pizza_factory_43.1087_13.5538,Pizza Factory,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/pizza_factory_43.1087_13.5538.json,custom
43.133999,13.538320,ov_bar_pizzeria_il_grottino_43.1340_13.5383,Bar Pizzeria Il Grottino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/bar_pizzeria_il_grottino_43.1340_13.5383.json,custom
43.133981,13.538279,ov_il_grottino_de_lu_papa_43.1340_13.5383,Il Grottino de lu Papa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/il_grottino_de_lu_papa_43.1340_13.5383.json,custom
43.132590,13.537606,ov_corso_41_cucina_al_centro_43.1326_13.5376,Corso 41 Cucina al centro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/corso_41_cucina_al_centro_43.1326_13.5376.json,custom
43.134978,13.539273,ov_pizzeria_mm_da_massi_43.1350_13.5393,Pizzeria MM da Massi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/pizzeria_mm_da_massi_43.1350_13.5393.json,custom
43.133237,13.533134,ov_agriturismo_fara_43.1332_13.5331,Agriturismo Fara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/agriturismo_fara_43.1332_13.5331.json,custom
43.108102,13.519510,ov_sushi_ta_43.1081_13.5195,Sushi ta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/sushi_ta_43.1081_13.5195.json,custom
43.103035,13.527805,ov_la_scampagnata_43.1030_13.5278,La Scampagnata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/la_scampagnata_43.1030_13.5278.json,custom
43.118311,13.571994,ov_momenti_43.1183_13.5720,Momenti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/momenti_43.1183_13.5720.json,custom
43.117748,13.573654,ov_le_terrazze_restaurant_43.1177_13.5737,Le Terrazze restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/le_terrazze_restaurant_43.1177_13.5737.json,custom
43.116365,13.573788,ov_il_borgo_43.1164_13.5738,Il borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/il_borgo_43.1164_13.5738.json,custom
43.114258,13.565351,ov_pizzeria_la_rondine_43.1143_13.5654,Pizzeria La Rondine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/pizzeria_la_rondine_43.1143_13.5654.json,custom
43.112988,13.562787,ov_zen_ristorante_giapponese_43.1130_13.5628,Zen ristorante giapponese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/zen_ristorante_giapponese_43.1130_13.5628.json,custom
43.111229,13.560111,ov_smooth_pizza_e_birra_43.1112_13.5601,Smooth Pizza e Birra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/smooth_pizza_e_birra_43.1112_13.5601.json,custom
43.132605,13.537601,osm_gufi_e_tartufi_43.1326_13.5376,Gufi e Tartufi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/gufi_e_tartufi_43.1326_13.5376.json,custom
43.099940,13.542540,ov_forno_e_pasticceria_fcg_43.0999_13.5425,Forno e Pasticceria FCG,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/forno_e_pasticceria_fcg_43.0999_13.5425.json,custom
43.101450,13.537640,ov_new_bar_2_0_43.1014_13.5376,New Bar 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/new_bar_20_43.1014_13.5376.json,custom
43.132356,13.537428,ov_sassinpiazza_43.1324_13.5374,Sassinpiazza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/sassinpiazza_43.1324_13.5374.json,custom
43.133909,13.539064,ov_bar_piccadilly_43.1339_13.5391,Bar Piccadilly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/bar_piccadilly_43.1339_13.5391.json,custom
43.137401,13.570588,ov_officina_del_sole_43.1374_13.5706,Officina del Sole,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/officina_del_sole_43.1374_13.5706.json,custom
43.119748,13.575902,ov_sosta_caffe_43.1197_13.5759,Sosta Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/sosta_caffe_43.1197_13.5759.json,custom
43.113629,13.564407,ov_bar_sobe_43.1136_13.5644,Bar Sobe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/bar_sobe_43.1136_13.5644.json,custom
43.107000,13.549661,ov_palestra_project_gym_43.1070_13.5497,Palestra Project Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/palestra_project_gym_43.1070_13.5497.json,custom
43.105130,13.553980,ov_asd_golf_club_avio2_0_43.1051_13.5540,Asd Golf Club Avio2.0,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/asd_golf_club_avio20_43.1051_13.5540.json,custom
43.103945,13.543376,ov_pista_minicar_montegiorgio_43.1039_13.5434,Pista Minicar Montegiorgio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/pista_minicar_montegiorgio_43.1039_13.5434.json,custom
43.104955,13.543623,ov_asd_mi_vuelta___scuola_di_ballo_43.1050_13.5436,Asd Mi Vuelta - Scuola Di Ballo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/asd_mi_vuelta_-_scuola_di_ballo_43.1050_13.5436.json,custom
43.130274,13.531954,ov_brazz_center___palestra_di_arrampicata_e_43.1303_13.5320,Brazz Center | palestra di arrampicata e bouldering,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/brazz_center_palestra_di_arrampicata_e_b_43.1303_13.5320.json,custom
43.125286,13.540034,ov_fem_centro_pilates_43.1253_13.5400,Fem Centro Pilates,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/fem_centro_pilates_43.1253_13.5400.json,custom
43.134843,13.539852,ov_tiro_a_segno_nazionale_montegiorgio_43.1348_13.5399,Tiro a Segno Nazionale Montegiorgio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/tiro_a_segno_nazionale_montegiorgio_43.1348_13.5399.json,custom
43.102812,13.515453,ov_affinity_dance_43.1028_13.5155,Affinity Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/affinity_dance_43.1028_13.5155.json,custom
43.117582,13.574460,ov_asd_melampus_43.1176_13.5745,ASD Melampus,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/asd_melampus_43.1176_13.5745.json,custom
43.116451,13.574206,ov_ippodromo_san_paolo_43.1165_13.5742,Ippodromo San Paolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/ippodromo_san_paolo_43.1165_13.5742.json,custom
43.107887,13.571113,ov_campo_da_tiro_club_del_cinghiale_43.1079_13.5711,Campo da Tiro Club del Cinghiale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/campo_da_tiro_club_del_cinghiale_43.1079_13.5711.json,custom
43.111370,13.570070,ov_danza_e_arte_43.1114_13.5701,Danza e Arte,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/danza_e_arte_43.1114_13.5701.json,custom
43.098060,13.551978,ov_cascata_del_sasso_43.0981_13.5520,Cascata del Sasso,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/montegiorgio/pages/cascata_del_sasso_43.0981_13.5520.json,custom
