# lat,lng,id,name,building_type,type,url,page_type
# Saint-Jean-d'Aulps -- Tutti
46.234310,6.655830,ov_maison_de_sant__saint_jean_d_aulps_46.2343_6.6558,Maison de Santé Saint-Jean-d'Aulps,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/maison_de_sant_saint-jean-daulps_46.2343_6.6558.json,custom
46.229100,6.659118,ov_casa_pizza_46.2291_6.6591,Casa Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/casa_pizza_46.2291_6.6591.json,custom
46.232551,6.656038,ov_mon_p_tit_resto_46.2326_6.6560,Mon p'tit resto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/mon_ptit_resto_46.2326_6.6560.json,custom
46.226380,6.641032,ov_la_grande_terche_46.2264_6.6410,La Grande Terche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/la_grande_terche_46.2264_6.6410.json,custom
46.226453,6.640918,ov_nouveau_restaurant_l_etabli_46.2265_6.6409,Nouveau Restaurant l'Etabli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/nouveau_restaurant_letabli_46.2265_6.6409.json,custom
46.226390,6.640849,ov_auberge_de_la_terche_46.2264_6.6408,Auberge de la Terche,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/auberge_de_la_terche_46.2264_6.6408.json,custom
46.231951,6.656223,ov_alba_bar___kitchen_46.2320_6.6562,Alba Bar & Kitchen,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/alba_bar_kitchen_46.2320_6.6562.json,custom
46.234087,6.656038,ov_le_national_46.2341_6.6560,Le National,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/le_national_46.2341_6.6560.json,custom
46.226369,6.641547,ov_bar_l_efanle___st_jean_d_aulps_46.2264_6.6415,Bar L'Efanle - St Jean d'Aulps,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/bar_lefanle_-_st_jean_daulps_46.2264_6.6415.json,custom
46.226383,6.641347,ov_choko_bar_46.2264_6.6413,Choko Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/choko_bar_46.2264_6.6413.json,custom
46.226838,6.641121,ov_l_avalanche_bar_46.2268_6.6411,L'avalanche Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/lavalanche_bar_46.2268_6.6411.json,custom
46.214577,6.632285,ov_l_escale_blanche_46.2146_6.6323,L'Escale Blanche,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/lescale_blanche_46.2146_6.6323.json,custom
46.200286,6.597485,ov_col_de_graydon_46.2003_6.5975,Col De Graydon,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/col_de_graydon_46.2003_6.5975.json,custom
46.207762,6.675246,ov_woody___vall_e_d_aulps_46.2078_6.6752,WOODY - Vallée d'Aulps,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/woody_-_valle_daulps_46.2078_6.6752.json,custom
46.226986,6.660642,ov_studio_pilates_morzine_46.2270_6.6606,Studio Pilates Morzine,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/studio_pilates_morzine_46.2270_6.6606.json,custom
46.229668,6.656388,ov_ranch_des_portes_du_soleil_46.2297_6.6564,Ranch des Portes du Soleil,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/ranch_des_portes_du_soleil_46.2297_6.6564.json,custom
46.235637,6.654381,ov_conception_r_ves_chalet_la_grande_ourse_46.2356_6.6544,Conception Rêves chalet La grande ourse,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/conception_rves_chalet_la_grande_ourse_46.2356_6.6544.json,custom
46.244592,6.646007,ov_alpine_action_adventures_46.2446_6.6460,Alpine Action Adventures,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/alpine_action_adventures_46.2446_6.6460.json,custom
46.244484,6.645561,ov_chalet_de_l_abbaye_46.2445_6.6456,Chalet de l'Abbaye,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/valle_daosta/saint-jean-daulps/pages/chalet_de_labbaye_46.2445_6.6456.json,custom
