# lat,lng,id,name,building_type,type,url,page_type
# Mezzocorona -- Tutti
46.216960,11.119176,ov_presidio_ospedaliero_san_giovanni_46.2170_11.1192,Presidio Ospedaliero San Giovanni,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/presidio_ospedaliero_san_giovanni_46.2170_11.1192.json,custom
46.216639,11.119109,ov_t_d_demetrio_bar_ristorante_pizzeria_46.2166_11.1191,T&D Demetrio Bar Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/td_demetrio_bar_ristorante_pizzeria_46.2166_11.1191.json,custom
46.215327,11.118525,ov_le_golosita_di_daniele_rossi_46.2153_11.1185,Le Golosita di Daniele Rossi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/le_golosita_di_daniele_rossi_46.2153_11.1185.json,custom
46.215097,11.119345,ov_trattoria_dolce_spina_46.2151_11.1193,Trattoria Dolce Spina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/trattoria_dolce_spina_46.2151_11.1193.json,custom
46.214530,11.118392,ov_pizza_al_taglio_quadrifoglio_46.2145_11.1184,Pizza al Taglio Quadrifoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/pizza_al_taglio_quadrifoglio_46.2145_11.1184.json,custom
46.211402,11.113813,ov_elementi_ristorante_46.2114_11.1138,Elementi Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/elementi_ristorante_46.2114_11.1138.json,custom
46.211257,11.113909,ov_locanda_camorz_46.2113_11.1139,Locanda Camorz,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/locanda_camorz_46.2113_11.1139.json,custom
46.214877,11.116870,ov_al_caminetto_46.2149_11.1169,Al Caminetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/al_caminetto_46.2149_11.1169.json,custom
46.226758,11.092950,ov_maso_oliva_46.2268_11.0929,Maso Oliva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/maso_oliva_46.2268_11.0929.json,custom
46.206455,11.141119,ov_ristorante_la_cacciatora_46.2065_11.1411,Ristorante La Cacciatora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/ristorante_la_cacciatora_46.2065_11.1411.json,custom
46.214865,11.116842,osm_crown_46.2149_11.1168,Crown,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/crown_46.2149_11.1168.json,custom
46.214520,11.118333,osm_pizza_al_taglio_46.2145_11.1183,Pizza al taglio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/pizza_al_taglio_46.2145_11.1183.json,custom
46.216640,11.119205,osm_da_demetrio_46.2166_11.1192,Da Demetrio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/da_demetrio_46.2166_11.1192.json,custom
46.217448,11.125752,osm_pizza_doc_46.2174_11.1258,Pizza Doc,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/pizza_doc_46.2174_11.1258.json,custom
46.225777,11.122210,osm_hotel_3_cime_46.2258_11.1222,Hotel 3 Cime,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/hotel_3_cime_46.2258_11.1222.json,custom
46.225191,11.119623,osm_albergo_ai_spiazzi_46.2252_11.1196,Albergo Ai Spiazzi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/mezzocorona/pages/albergo_ai_spiazzi_46.2252_11.1196.json,custom
