# lat,lng,id,name,building_type,type,url,page_type
# Casciano -- Tutti
43.161771,11.325297,osm_puntoeacapo_43.1618_11.3253,Puntoeacapo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/casciano/pages/puntoeacapo_43.1618_11.3253.json,custom
43.155231,11.332184,osm_bar_delle_soline_43.1552_11.3322,Bar delle Soline,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/casciano/pages/bar_delle_soline_43.1552_11.3322.json,custom
43.161299,11.325228,osm_bar_circolo_arci_casciano_43.1613_11.3252,Bar Circolo Arci Casciano,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/toscana/casciano/pages/bar_circolo_arci_casciano_43.1613_11.3252.json,custom
