# lat,lng,id,name,building_type,type,url,page_type
# Cerea -- Tutti
45.190758,11.223134,osm_distretto_sanitario_3_di_cerea_45.1908_11.2231,Distretto Sanitario 3 di Cerea,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/distretto_sanitario_3_di_cerea_45.1908_11.2231.json,custom
45.113846,11.234622,ov_hostaria_pizzeria_mindon_45.1138_11.2346,Hostaria Pizzeria Mindon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/hostaria_pizzeria_mindon_45.1138_11.2346.json,custom
45.185405,11.196089,ov_il_chiostro_pizzeria_45.1854_11.1961,Il Chiostro Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/il_chiostro_pizzeria_45.1854_11.1961.json,custom
45.185490,11.196104,ov_pizzeria_il_chiostro_45.1855_11.1961,Pizzeria Il Chiostro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/pizzeria_il_chiostro_45.1855_11.1961.json,custom
45.187414,11.228117,ov_pizzeria_la_corte_45.1874_11.2281,Pizzeria La Corte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/pizzeria_la_corte_45.1874_11.2281.json,custom
45.187322,11.227990,ov_ristorante_polaris_45.1873_11.2280,Ristorante Polaris,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/ristorante_polaris_45.1873_11.2280.json,custom
45.187363,11.230531,ov_lo_sfizio_ristorante_self_service_45.1874_11.2305,Lo Sfizio Ristorante Self-Service,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/lo_sfizio_ristorante_self-service_45.1874_11.2305.json,custom
45.186340,11.249137,ov_al_ritrovo_d_amico_45.1863_11.2491,Al Ritrovo D'Amico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/al_ritrovo_damico_45.1863_11.2491.json,custom
45.174091,11.238930,ov_la_strana_coppia_45.1741_11.2389,La Strana Coppia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/la_strana_coppia_45.1741_11.2389.json,custom
45.173678,11.246310,ov_logis_srl___pagina_45.1737_11.2463,Logis Srl - Pagina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/logis_srl_-_pagina_45.1737_11.2463.json,custom
45.171094,11.244839,ov_american_house_grill_45.1711_11.2448,American House Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cerea/pages/american_house_grill_45.1711_11.2448.json,custom
