# lat,lng,id,name,building_type,type,url,page_type
# Rosà -- Tutti
45.725030,11.762890,ov_centro_di_neuroscienze_di_ros____dr__pie_45.7250_11.7629,Centro di Neuroscienze di Rosà - Dr. Piergiorgio Miottello,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/centro_di_neuroscienze_di_ros_-_dr_pierg_45.7250_11.7629.json,custom
45.730214,11.723669,ov_bar_trattoria_tre_ponti_45.7302_11.7237,Bar Trattoria Tre Ponti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/bar_trattoria_tre_ponti_45.7302_11.7237.json,custom
45.730314,11.726591,ov_pizzeria_trattoria_ai_morosini_45.7303_11.7266,Pizzeria Trattoria ai Morosini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/pizzeria_trattoria_ai_morosini_45.7303_11.7266.json,custom
45.728571,11.734240,ov_trattoria_da_rino_e_sandra_45.7286_11.7342,Trattoria da Rino e Sandra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/trattoria_da_rino_e_sandra_45.7286_11.7342.json,custom
45.721272,11.733236,ov_trattoria_ponte_paoletti_45.7213_11.7332,Trattoria Ponte Paoletti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/trattoria_ponte_paoletti_45.7213_11.7332.json,custom
45.715032,11.725103,ov_pizzeria_oro_45.7150_11.7251,Pizzeria Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/pizzeria_oro_45.7150_11.7251.json,custom
45.722687,11.743395,ov_il_covo_del_ribelle_45.7227_11.7434,Il Covo del Ribelle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/il_covo_del_ribelle_45.7227_11.7434.json,custom
45.713680,11.748720,ov_il_covo_del_ribelle_ristorante_messicano_45.7137_11.7487,Il Covo Del Ribelle Ristorante Messicano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/il_covo_del_ribelle_ristorante_messicano_45.7137_11.7487.json,custom
45.701680,11.751716,ov_ristorante_al_fiore_45.7017_11.7517,Ristorante Al Fiore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/ristorante_al_fiore_45.7017_11.7517.json,custom
45.700519,11.768690,ov_bar_trattoria_tabaccheria_alla_pigna_45.7005_11.7687,Bar Trattoria Tabaccheria alla Pigna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/bar_trattoria_tabaccheria_alla_pigna_45.7005_11.7687.json,custom
45.701935,11.768470,ov_pizzeria_da_piero_45.7019_11.7685,Pizzeria da Piero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/pizzeria_da_piero_45.7019_11.7685.json,custom
45.698860,11.768810,ov_pizzeria_da_cristy_45.6989_11.7688,Pizzeria da Cristy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/pizzeria_da_cristy_45.6989_11.7688.json,custom
45.720529,11.764272,ov_japan_house_ros__45.7205_11.7643,Japan House Rosà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/japan_house_ros_45.7205_11.7643.json,custom
45.718205,11.764592,ov_break_point_45.7182_11.7646,Break Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/break_point_45.7182_11.7646.json,custom
45.717205,11.765264,ov_ristorante_dinzu_ros__45.7172_11.7653,Ristorante Dinzu Rosà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/ristorante_dinzu_ros_45.7172_11.7653.json,custom
45.724275,11.767868,ov_la_lanterna_45.7243_11.7679,La Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/la_lanterna_45.7243_11.7679.json,custom
45.723913,11.765425,ov_pizzalonga_away_ros__45.7239_11.7654,Pizzalonga Away Rosà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/pizzalonga_away_ros_45.7239_11.7654.json,custom
45.728476,11.761990,ov_pizzalandi_s_45.7285_11.7620,PIZZALandi'S,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/pizzalandis_45.7285_11.7620.json,custom
45.723637,11.759584,ov_cris_pizza_45.7236_11.7596,Cris Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/cris_pizza_45.7236_11.7596.json,custom
45.724350,11.761567,ov_saim_pizza_kebab_45.7243_11.7616,Saim Pizza Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/saim_pizza_kebab_45.7243_11.7616.json,custom
45.732215,11.760878,ov_pizzeria_come_vuoi_tu_ros__45.7322_11.7609,Pizzeria Come Vuoi Tu Rosà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/pizzeria_come_vuoi_tu_ros_45.7322_11.7609.json,custom
45.730103,11.761540,ov_king_s_45.7301_11.7615,King's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/kings_45.7301_11.7615.json,custom
45.733019,11.761061,ov_civico_130_45.7330_11.7611,Civico 130,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/civico_130_45.7330_11.7611.json,custom
45.733930,11.760420,ov_la_piadineria_di_ros__45.7339_11.7604,La Piadineria di Rosà,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/la_piadineria_di_ros_45.7339_11.7604.json,custom
45.737683,11.757616,ov_vecchia_corte_bistro_45.7377_11.7576,Vecchia Corte Bistro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/vecchia_corte_bistro_45.7377_11.7576.json,custom
45.722746,11.771579,ov_pizzeria_vince_45.7227_11.7716,Pizzeria Vince,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/pizzeria_vince_45.7227_11.7716.json,custom
45.718053,11.764427,osm_pizzeria_breakpoint_45.7181_11.7644,Pizzeria Breakpoint,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/pizzeria_breakpoint_45.7181_11.7644.json,custom
45.732151,11.760886,osm_come_vuoi_tu_45.7322_11.7609,Come vuoi tu,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/come_vuoi_tu_45.7322_11.7609.json,custom
45.694355,11.738620,ov_labi_beer_45.6944_11.7386,LABI BEER,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/labi_beer_45.6944_11.7386.json,custom
45.510308,11.457243,ov_terrapiana_caf__45.5103_11.4572,Terrapiana Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/terrapiana_caf_45.5103_11.4572.json,custom
45.718721,11.719920,ov_four_street_bar_45.7187_11.7199,Four Street Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/four_street_bar_45.7187_11.7199.json,custom
45.735402,11.741603,ov_al_chiosco___food_drinks_45.7354_11.7416,Al Chiosco - Food&Drinks,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/al_chiosco_-_fooddrinks_45.7354_11.7416.json,custom
45.731038,11.728532,ov_dolce_caffe_45.7310_11.7285,Dolce Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/dolce_caffe_45.7310_11.7285.json,custom
45.723469,11.749392,ov_bar_meneghetti_vanni___c__snc_45.7235_11.7494,Bar Meneghetti Vanni & C. SNC,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/bar_meneghetti_vanni_c_snc_45.7235_11.7494.json,custom
45.700094,11.751717,ov_mulino_vecchio_ros__45.7001_11.7517,Mulino Vecchio Rosà,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/mulino_vecchio_ros_45.7001_11.7517.json,custom
45.698583,11.769119,ov_cin_cin_bar_45.6986_11.7691,Cin Cin Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/cin_cin_bar_45.6986_11.7691.json,custom
45.702673,11.767366,ov_cp_cusinati_snack_and_drink_45.7027_11.7674,Cp Cusinati snack and drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/cp_cusinati_snack_and_drink_45.7027_11.7674.json,custom
45.711282,11.766370,ov_bar_cavallino_d_oro_45.7113_11.7664,Bar Cavallino d'Oro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/bar_cavallino_doro_45.7113_11.7664.json,custom
45.720908,11.763683,ov_caf__vlady_45.7209_11.7637,Cafè Vlady,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/caf_vlady_45.7209_11.7637.json,custom
45.720013,11.764292,ov_cavallino_d_oro_rosa__45.7200_11.7643,Cavallino d'oro Rosa',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/cavallino_doro_rosa_45.7200_11.7643.json,custom
45.719012,11.764194,ov_dodo_caf__45.7190_11.7642,Dodo Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/dodo_caf_45.7190_11.7642.json,custom
45.718011,11.764876,ov_mulino_vecchio_bar_birreria_ristorantino_45.7180_11.7649,Mulino Vecchio Bar Birreria Ristorantino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/mulino_vecchio_bar_birreria_ristorantino_45.7180_11.7649.json,custom
45.723418,11.770035,ov_birreria_anima_45.7234_11.7700,Birreria Anima,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/birreria_anima_45.7234_11.7700.json,custom
45.724123,11.764353,ov_bar_dei_tigli_45.7241_11.7644,Bar Dei Tigli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/bar_dei_tigli_45.7241_11.7644.json,custom
45.723959,11.764278,ov_caffetteria_al_duomo_45.7240_11.7643,Caffetteria al Duomo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/caffetteria_al_duomo_45.7240_11.7643.json,custom
45.722116,11.763380,ov_bello_bevande_45.7221_11.7634,Bello Bevande,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/bello_bevande_45.7221_11.7634.json,custom
45.726814,11.761777,ov_voila_cafe_45.7268_11.7618,Voila Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/voila_cafe_45.7268_11.7618.json,custom
45.726975,11.760611,ov_pi_trentanove_45.7270_11.7606,PiùTrentanove,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/pitrentanove_45.7270_11.7606.json,custom
45.723701,11.759690,ov_flame_pub_45.7237_11.7597,Flame pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/flame_pub_45.7237_11.7597.json,custom
45.722382,11.760763,ov_gancio_bar_45.7224_11.7608,Gancio Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/gancio_bar_45.7224_11.7608.json,custom
45.723776,11.763009,ov_bar_centrale_45.7238_11.7630,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/bar_centrale_45.7238_11.7630.json,custom
45.737733,11.759905,ov_jo_bar_45.7377_11.7599,Jo Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/jo_bar_45.7377_11.7599.json,custom
45.727792,11.775858,ov_passion_caf____swimming_pool_ros__45.7278_11.7759,Passion Cafè - Swimming Pool Rosà,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ros/pages/passion_caf_-_swimming_pool_ros_45.7278_11.7759.json,custom
