# lat,lng,id,name,building_type,type,url,page_type
# Anversa degli Abruzzi -- Tutti
41.993450,13.802679,ov_comunit__terapeutica_riabilitativa_il_ca_41.9935_13.8027,Comunità Terapeutica Riabilitativa Il Castello,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/anversa_degli_abruzzi/pages/comunit_terapeutica_riabilitativa_il_cas_41.9935_13.8027.json,custom
41.993246,13.800030,ov_le_gole_41.9932_13.8000,Le Gole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/anversa_degli_abruzzi/pages/le_gole_41.9932_13.8000.json,custom
41.993686,13.803835,ov_ristorante_la_fiaccola_41.9937_13.8038,Ristorante La Fiaccola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/anversa_degli_abruzzi/pages/ristorante_la_fiaccola_41.9937_13.8038.json,custom
41.994164,13.803566,ov_bottega_belprato_41.9942_13.8036,Bottega Belprato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/anversa_degli_abruzzi/pages/bottega_belprato_41.9942_13.8036.json,custom
41.994263,13.803419,osm_bottega_belprato_41.9943_13.8034,Bottega Belprato,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/anversa_degli_abruzzi/pages/bottega_belprato_41.9943_13.8034.json,custom
41.994311,13.803365,ov_bar_l_angolo_delle_grazie_41.9943_13.8034,Bar L'Angolo Delle Grazie,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/anversa_degli_abruzzi/pages/bar_langolo_delle_grazie_41.9943_13.8034.json,custom
41.994137,13.800971,osm_poste_italiane_41.9941_13.8010,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/molise/anversa_degli_abruzzi/pages/poste_italiane_41.9941_13.8010.json,custom
