# lat,lng,id,name,building_type,type,url,page_type
# Gaiarine -- Tutti
45.880772,12.481600,ov_gaia_medical_center_45.8808_12.4816,Gaia Medical Center,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/gaia_medical_center_45.8808_12.4816.json,custom
45.879564,12.482431,ov_pizzeria_the_lievita_s_45.8796_12.4824,Pizzeria The Lievita's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/pizzeria_the_lievitas_45.8796_12.4824.json,custom
45.880640,12.481534,ov_osteria_al_municipio_45.8806_12.4815,Osteria al Municipio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/osteria_al_municipio_45.8806_12.4815.json,custom
45.880261,12.480582,ov_pizzalandia_gaiarine_45.8803_12.4806,Pizzalandia Gaiarine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/pizzalandia_gaiarine_45.8803_12.4806.json,custom
45.884213,12.490318,ov_grill_garden_45.8842_12.4903,Grill Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/grill_garden_45.8842_12.4903.json,custom
45.883227,12.490131,ov_mangio_45.8832_12.4901,Mangio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/mangio_45.8832_12.4901.json,custom
45.883302,12.488135,ov_veranda41_45.8833_12.4881,Veranda41,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/veranda41_45.8833_12.4881.json,custom
45.877590,12.497115,ov_agriturismo_la_gramigna_45.8776_12.4971,Agriturismo La Gramigna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/agriturismo_la_gramigna_45.8776_12.4971.json,custom
45.878106,12.481868,ov_barchessino_caffetteria_45.8781_12.4819,Barchessino Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/barchessino_caffetteria_45.8781_12.4819.json,custom
45.878118,12.481946,ov_flora_45.8781_12.4819,FLORA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/flora_45.8781_12.4819.json,custom
45.878077,12.481806,ov_bar_al_campanile_45.8781_12.4818,Bar Al Campanile,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/bar_al_campanile_45.8781_12.4818.json,custom
45.879741,12.482773,ov_cafe_roma_45.8797_12.4828,Cafe Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/cafe_roma_45.8797_12.4828.json,custom
45.883553,12.489756,ov_koala_foodbar_45.8836_12.4898,Koala Foodbar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/koala_foodbar_45.8836_12.4898.json,custom
45.883495,12.489934,ov_diamantik_45.8835_12.4899,Diamantik,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/diamantik_45.8835_12.4899.json,custom
45.883570,12.489899,ov_crossfit_diamantik_45.8836_12.4899,CrossFit Diamantik,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/crossfit_diamantik_45.8836_12.4899.json,custom
45.883408,12.489374,ov_soler__splash___wellness_45.8834_12.4894,Solerò Splash & Wellness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/soler_splash_wellness_45.8834_12.4894.json,custom
45.878769,12.482650,ov_museo_arti_e_mestieri_de__na_volta_45.8788_12.4826,Museo Arti e Mestieri de 'na Volta,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/gaiarine/pages/museo_arti_e_mestieri_de_na_volta_45.8788_12.4826.json,custom
