# lat,lng,id,name,building_type,type,url,page_type
# mandriola -- Tutti
40.038955,8.401519,osm_entu_e_sole_40.0390_8.4015,Entu e Sole,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/mandriola/pages/entu_e_sole_40.0390_8.4015.json,custom
40.033278,8.399719,osm_bar_gelateria_la_tana_delle_lepri_40.0333_8.3997,Bar gelateria La tana delle lepri,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/mandriola/pages/bar_gelateria_la_tana_delle_lepri_40.0333_8.3997.json,custom
40.033275,8.397365,osm_chiosco_bar_fenu_davide_daniele_40.0333_8.3974,Chiosco bar Fenu Davide Daniele,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/mandriola/pages/chiosco_bar_fenu_davide_daniele_40.0333_8.3974.json,custom
