# lat,lng,id,name,building_type,type,url,page_type
# Soveria Mannelli -- Tutti
39.078776,16.381332,ov_ospedale_civile_39.0788_16.3813,Ospedale Civile,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/ospedale_civile_39.0788_16.3813.json,custom
39.059504,16.409024,ov_al_bivio_39.0595_16.4090,Al Bivio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/al_bivio_39.0595_16.4090.json,custom
39.087284,16.379000,ov_pastificio_cardamone_39.0873_16.3790,Pastificio Cardamone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/pastificio_cardamone_39.0873_16.3790.json,custom
39.088036,16.383732,ov_silafunghi_di_arnoni_angelo_39.0880_16.3837,Silafunghi di Arnoni Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/silafunghi_di_arnoni_angelo_39.0880_16.3837.json,custom
39.074144,16.377289,ov_snack_sandwich_39.0741_16.3773,Snack&Sandwich,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/snacksandwich_39.0741_16.3773.json,custom
39.080053,16.376666,ov_da_nicola___ristorante_pizzeria_39.0801_16.3767,Da Nicola - ristorante/pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/da_nicola_-_ristorantepizzeria_39.0801_16.3767.json,custom
39.080358,16.376347,ov_pizz__stop_da_gabriele_39.0804_16.3763,Pizz' Stop da Gabriele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/pizz_stop_da_gabriele_39.0804_16.3763.json,custom
39.084555,16.369870,ov_il_piccolo_ristoro_di_maletta_felice_39.0846_16.3699,Il Piccolo Ristoro di Maletta Felice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/il_piccolo_ristoro_di_maletta_felice_39.0846_16.3699.json,custom
39.082132,16.371240,ov_prestige_bar_39.0821_16.3712,Prestige Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/prestige_bar_39.0821_16.3712.json,custom
39.069113,16.378078,ov_la_rosa_nel_bicchiere_39.0691_16.3781,La Rosa Nel Bicchiere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/la_rosa_nel_bicchiere_39.0691_16.3781.json,custom
39.083122,16.374613,ov_disco_pub_da_max_39.0831_16.3746,Disco pub da max,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/disco_pub_da_max_39.0831_16.3746.json,custom
39.084711,16.370060,ov_pascuzzi_bar_srl_39.0847_16.3701,Pascuzzi Bar Srl,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/pascuzzi_bar_srl_39.0847_16.3701.json,custom
39.083384,16.369051,ov_pucci_h24_shop_39.0834_16.3691,Pucci H24 Shop,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/pucci_h24_shop_39.0834_16.3691.json,custom
39.084128,16.370632,ov_bar_pasticceria_colosimo_39.0841_16.3706,Bar Pasticceria Colosimo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/soveria_mannelli/pages/bar_pasticceria_colosimo_39.0841_16.3706.json,custom
