# lat,lng,id,name,building_type,type,url,page_type
# Ponte San Nicolò -- Tutti
45.371608,11.910758,ov_ospedale_psichiatrico_45.3716_11.9108,Ospedale Psichiatrico,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/ospedale_psichiatrico_45.3716_11.9108.json,custom
45.366700,11.616700,ov_pizzeria_da_zambo_45.3667_11.6167,Pizzeria Da Zambo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/pizzeria_da_zambo_45.3667_11.6167.json,custom
45.361918,11.905816,ov_pizzeria_stop_45.3619_11.9058,Pizzeria Stop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/pizzeria_stop_45.3619_11.9058.json,custom
45.375649,11.908726,ov_kamii_45.3756_11.9087,Kamii,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/kamii_45.3756_11.9087.json,custom
45.375878,11.909309,ov_orient_express_padova_45.3759_11.9093,Orient Express Padova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/orient_express_padova_45.3759_11.9093.json,custom
45.377118,11.913950,ov_bar_gaudi_45.3771_11.9140,Bar Gaudi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/bar_gaudi_45.3771_11.9140.json,custom
45.373058,11.914427,ov_pizzalonga_away_ponte_san_nicol__45.3731_11.9144,Pizzalonga Away Ponte San Nicolò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/pizzalonga_away_ponte_san_nicol_45.3731_11.9144.json,custom
45.370080,11.921930,ov_leggero_45.3701_11.9219,Leggero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/leggero_45.3701_11.9219.json,custom
45.370072,11.922518,ov_montenapoleone_ponte_45.3701_11.9225,Montenapoleone Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/montenapoleone_ponte_45.3701_11.9225.json,custom
45.370138,11.922560,ov_kofler_45.3701_11.9226,Kofler,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/kofler_45.3701_11.9226.json,custom
45.368835,11.924334,ov_la_fornetteria_della_pizza_45.3688_11.9243,La Fornetteria della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/la_fornetteria_della_pizza_45.3688_11.9243.json,custom
45.371279,11.919186,ov_pizza_mia_45.3713_11.9192,Pizza Mia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/pizza_mia_45.3713_11.9192.json,custom
45.371660,11.917630,ov_orient_express_45.3717_11.9176,Orient Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/orient_express_45.3717_11.9176.json,custom
45.372186,11.916383,ov_la_fiorentina_45.3722_11.9164,La Fiorentina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/la_fiorentina_45.3722_11.9164.json,custom
45.367193,11.928753,ov_sushi_oishi_45.3672_11.9288,Sushi Oishi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/sushi_oishi_45.3672_11.9288.json,custom
45.365482,11.931337,ov_flame_n_co__padova_45.3655_11.9313,Flame'n Co. Padova,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/flamen_co_padova_45.3655_11.9313.json,custom
45.360871,11.933402,ov_ristorante_boomerang_45.3609_11.9334,Ristorante Boomerang,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/ristorante_boomerang_45.3609_11.9334.json,custom
45.358156,11.929441,ov_galleria_46_45.3582_11.9294,Galleria 46,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/galleria_46_45.3582_11.9294.json,custom
45.355778,11.931435,ov_bar_porca_vacca_enoteca_45.3558_11.9314,Bar Porca Vacca Enoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/bar_porca_vacca_enoteca_45.3558_11.9314.json,custom
45.344732,11.937140,ov_trattoria_la_busa_45.3447_11.9371,Trattoria La Busa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/trattoria_la_busa_45.3447_11.9371.json,custom
45.361673,11.940567,ov_ciccio_pasticcio_45.3617_11.9406,Ciccio Pasticcio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/ciccio_pasticcio_45.3617_11.9406.json,custom
45.361453,11.940883,ov_fantapizza_45.3615_11.9409,Fantapizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/fantapizza_45.3615_11.9409.json,custom
45.362815,11.938143,ov_al_ponte_45.3628_11.9381,Al Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/al_ponte_45.3628_11.9381.json,custom
45.363036,11.937325,ov_ristorante_roma_45.3630_11.9373,Ristorante Roma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/ristorante_roma_45.3630_11.9373.json,custom
45.366734,11.937815,ov_la_mafaldina_45.3667_11.9378,La Mafaldina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/la_mafaldina_45.3667_11.9378.json,custom
45.369972,11.940317,ov_pizzeria_al_quadrifoglio_45.3700_11.9403,Pizzeria Al Quadrifoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/pizzeria_al_quadrifoglio_45.3700_11.9403.json,custom
45.371649,11.917589,osm_orient_express_osteria_45.3716_11.9176,Orient Express Osteria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/orient_express_osteria_45.3716_11.9176.json,custom
45.370045,11.922507,osm_spaten___birreria_montenapoleone_45.3700_11.9225,Spaten - Birreria Montenapoleone,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/spaten_-_birreria_montenapoleone_45.3700_11.9225.json,custom
45.377166,11.913805,osm_gaudi_bar_45.3772_11.9138,Gaudi Bar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/gaudi_bar_45.3772_11.9138.json,custom
45.372956,11.914497,osm_pizzalonga_away_45.3730_11.9145,Pizzalonga Away,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/pizzalonga_away_45.3730_11.9145.json,custom
45.365428,11.910181,ov_zanzibar_bar_45.3654_11.9102,Zanzibar Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/zanzibar_bar_45.3654_11.9102.json,custom
45.368923,11.923978,ov_barhacca_45.3689_11.9240,BarHacca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/barhacca_45.3689_11.9240.json,custom
45.369045,11.920055,ov_thomas_bar_di_argenti_thomas_45.3690_11.9201,Thomas bar Di Argenti Thomas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/thomas_bar_di_argenti_thomas_45.3690_11.9201.json,custom
45.371251,11.918113,ov_casa_della_birra_beer_brothers_45.3713_11.9181,Casa Della Birra Beer Brothers,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/casa_della_birra_beer_brothers_45.3713_11.9181.json,custom
45.365503,11.937298,ov_magi_s_caf__45.3655_11.9373,Magi's Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/magis_caf_45.3655_11.9373.json,custom
45.357334,11.930471,ov_running_bar_45.3573_11.9305,Running Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/running_bar_45.3573_11.9305.json,custom
45.361700,11.940526,ov_piano_b_45.3617_11.9405,Piano B,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/piano_b_45.3617_11.9405.json,custom
45.367415,11.937810,ov_bar_caffetteria_kolo_45.3674_11.9378,Bar Caffetteria Kolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/bar_caffetteria_kolo_45.3674_11.9378.json,custom
45.361294,11.940725,osm_cafe_rouge_45.3613_11.9407,Cafe Rouge,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/cafe_rouge_45.3613_11.9407.json,custom
45.371932,11.917870,osm_harry_s_coffe_45.3719_11.9179,Harry's coffe,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/harrys_coffe_45.3719_11.9179.json,custom
45.362660,11.907430,ov_scuola_danza_vassili_45.3627_11.9074,Scuola Danza Vassili,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/scuola_danza_vassili_45.3627_11.9074.json,custom
45.375680,11.908740,ov_ristorante_pinseria_duilio_45.3757_11.9087,Ristorante Pinseria Duilio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/ristorante_pinseria_duilio_45.3757_11.9087.json,custom
45.376178,11.914151,ov_palestra_be_aktive_k1_45.3762_11.9142,Palestra Be Aktive K1,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/palestra_be_aktive_k1_45.3762_11.9142.json,custom
45.377280,11.913256,ov_scuola_di_ballo_cubalinda_de_mi_vida_45.3773_11.9133,Scuola di Ballo CubaLinda de mi Vida,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/scuola_di_ballo_cubalinda_de_mi_vida_45.3773_11.9133.json,custom
45.377277,11.913265,ov_la_petite_etoile_asd___centro_studi_danz_45.3773_11.9133,La Petite Etoile ASD - Centro Studi Danza Padova,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/la_petite_etoile_asd_-_centro_studi_danz_45.3773_11.9133.json,custom
45.377276,11.913267,ov_accademia_be_aktive_45.3773_11.9133,Accademia Be Aktive,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/accademia_be_aktive_45.3773_11.9133.json,custom
45.373200,11.913972,ov_wet_side_45.3732_11.9140,Wet side,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/wet_side_45.3732_11.9140.json,custom
45.370728,11.919757,ov_dl_gym_45.3707_11.9198,DL Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/dl_gym_45.3707_11.9198.json,custom
45.370691,11.919785,ov_palestra_concordia_45.3707_11.9198,Palestra Concordia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/palestra_concordia_45.3707_11.9198.json,custom
45.368473,11.926549,ov_lifestudio_45.3685_11.9265,LifeStudio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/lifestudio_45.3685_11.9265.json,custom
45.366568,11.936219,ov_palestra_comunale_45.3666_11.9362,Palestra comunale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/palestra_comunale_45.3666_11.9362.json,custom
45.357278,11.930207,ov_mm_salsa_ponte_san_nicolo_45.3573_11.9302,MM Salsa Ponte San Nicolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/mm_salsa_ponte_san_nicolo_45.3573_11.9302.json,custom
45.357229,11.930212,ov_santiago_club_45.3572_11.9302,Santiago Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/santiago_club_45.3572_11.9302.json,custom
45.355210,11.929960,ov_be_aktive_fitness_challenge_45.3552_11.9300,Be Aktive Fitness Challenge,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/be_aktive_fitness_challenge_45.3552_11.9300.json,custom
45.355637,11.927618,ov_biliardi_schiavon_45.3556_11.9276,Biliardi Schiavon,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/biliardi_schiavon_45.3556_11.9276.json,custom
45.358040,11.928930,ov_jazzercise_ponte_san_nicol__45.3580_11.9289,Jazzercise Ponte San Nicolò,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/jazzercise_ponte_san_nicol_45.3580_11.9289.json,custom
45.358040,11.928930,ov_fit_academy_45.3580_11.9289,Fit Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/fit_academy_45.3580_11.9289.json,custom
45.358040,11.928930,ov_tong_ren_dao___centro_arti_marziali_e_be_45.3580_11.9289,Tong Ren Dao - Centro Arti Marziali e Benessere per corpo e ,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/tong_ren_dao_-_centro_arti_marziali_e_be_45.3580_11.9289.json,custom
45.358054,11.928919,ov_scuola_di_ballo_orizzonte_salsero_arcoir_45.3581_11.9289,Scuola di Ballo Orizzonte Salsero Arcoiris,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/scuola_di_ballo_orizzonte_salsero_arcoir_45.3581_11.9289.json,custom
45.355180,11.924839,ov_raso_danza_45.3552_11.9248,Raso Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/raso_danza_45.3552_11.9248.json,custom
45.365770,11.927350,ov_biblioteca_di_ponte_san_nicol__45.3658_11.9274,Biblioteca di Ponte San Nicolò,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/ponte_san_nicol/pages/biblioteca_di_ponte_san_nicol_45.3658_11.9274.json,custom
