# lat,lng,id,name,building_type,type,url,page_type
# Cardano al Campo -- Tutti
45.643804,8.771625,ov_studio_odontoiatrico_dentalow_45.6438_8.7716,Studio Odontoiatrico Dentalow,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/studio_odontoiatrico_dentalow_45.6438_8.7716.json,custom
45.650658,8.746994,ov_tiro_a_volo_by_mame_steakhouse_45.6507_8.7470,Tiro a Volo By Mame Steakhouse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/tiro_a_volo_by_mame_steakhouse_45.6507_8.7470.json,custom
45.650106,8.768278,ov_bistrot_28_45.6501_8.7683,Bistrot 28,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/bistrot_28_45.6501_8.7683.json,custom
45.647957,8.768645,ov_ristorante___pizzeria_il_quinto_elemento_45.6480_8.7686,Ristorante - Pizzeria Il Quinto Elemento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/ristorante_-_pizzeria_il_quinto_elemento_45.6480_8.7686.json,custom
45.646538,8.773473,ov_circolo_quarto_stato_45.6465_8.7735,Circolo Quarto Stato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/circolo_quarto_stato_45.6465_8.7735.json,custom
45.643782,8.771313,ov_ristorante_pizzeria_il_granchio_45.6438_8.7713,Ristorante Pizzeria Il Granchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/ristorante_pizzeria_il_granchio_45.6438_8.7713.json,custom
45.643854,8.771573,ov_ore_7_45.6439_8.7716,Ore 7,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/ore_7_45.6439_8.7716.json,custom
45.643479,8.758518,ov_oltre_le_nuvole_45.6435_8.7585,Oltre Le Nuvole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/oltre_le_nuvole_45.6435_8.7585.json,custom
45.642479,8.760167,ov_nel_buco_del_mulo_45.6425_8.7602,Nel Buco del Mulo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/nel_buco_del_mulo_45.6425_8.7602.json,custom
45.642559,8.765408,ov_mastro_pizza_45.6426_8.7654,Mastro Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/mastro_pizza_45.6426_8.7654.json,custom
45.641222,8.770650,ov_pizzeria_da_ciccio_45.6412_8.7707,Pizzeria da Ciccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/cardano_al_campo/pages/pizzeria_da_ciccio_45.6412_8.7707.json,custom
