# lat,lng,id,name,building_type,type,url,page_type
# locusantuluogosanto -- Tutti
41.049317,9.263266,ov_la_quercia_della_gallura_41.0493_9.2633,La Quercia della Gallura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/locusantuluogosanto/pages/la_quercia_della_gallura_41.0493_9.2633.json,custom
41.048677,9.248067,ov_castello_di_balaiana_41.0487_9.2481,Castello di Balaiana,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/locusantuluogosanto/pages/castello_di_balaiana_41.0487_9.2481.json,custom
41.070191,9.225565,ov_palazzo_di_baldu_41.0702_9.2256,Palazzo di Baldu,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/locusantuluogosanto/pages/palazzo_di_baldu_41.0702_9.2256.json,custom
