# lat,lng,id,name,building_type,type,url,page_type
# Mathi -- Tutti
45.257001,7.540312,ov_avis_mathi_45.2570_7.5403,Avis Mathi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/avis_mathi_45.2570_7.5403.json,custom
45.260192,7.540505,ov_il_forno_di_nonno_nando_45.2602_7.5405,Il Forno di Nonno Nando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/il_forno_di_nonno_nando_45.2602_7.5405.json,custom
45.259579,7.541963,ov_trattoria_bar_da_rosa_45.2596_7.5420,Trattoria Bar da Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/trattoria_bar_da_rosa_45.2596_7.5420.json,custom
45.259251,7.540441,ov_mister_mimmo_45.2593_7.5404,Mister Mimmo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/mister_mimmo_45.2593_7.5404.json,custom
45.257704,7.542230,ov_giovanna_e_marco_45.2577_7.5422,Giovanna e Marco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/giovanna_e_marco_45.2577_7.5422.json,custom
45.257741,7.543640,ov_osteria_la_caverna_dell_oste_45.2577_7.5436,Osteria La Caverna dell'Oste,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/osteria_la_caverna_delloste_45.2577_7.5436.json,custom
45.257555,7.540817,ov_luna_rossa_45.2576_7.5408,Luna Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/luna_rossa_45.2576_7.5408.json,custom
45.248771,7.542405,ov_to___ma_mathi_45.2488_7.5424,To & Ma Mathi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/to_ma_mathi_45.2488_7.5424.json,custom
45.251337,7.540448,ov_il_boccio_mathi_45.2513_7.5404,Il Boccio Mathi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/il_boccio_mathi_45.2513_7.5404.json,custom
45.252305,7.536534,ov_munksjo_45.2523_7.5365,Munksjo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/munksjo_45.2523_7.5365.json,custom
45.254580,7.548261,ov_le_braci_45.2546_7.5483,Le Braci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/le_braci_45.2546_7.5483.json,custom
45.254539,7.548178,osm_pizzeria_le_braci_45.2545_7.5482,Pizzeria Le Braci,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/pizzeria_le_braci_45.2545_7.5482.json,custom
45.260080,7.543426,ov_bar_sport_snc_45.2601_7.5434,Bar Sport Snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/bar_sport_snc_45.2601_7.5434.json,custom
45.258397,7.542490,ov_loft_coffee_house_45.2584_7.5425,Loft Coffee House,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/loft_coffee_house_45.2584_7.5425.json,custom
45.257696,7.542212,ov_bar_poconoto_45.2577_7.5422,Bar PocoNoto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/bar_poconoto_45.2577_7.5422.json,custom
45.253191,7.548319,ov_dream_bar_45.2532_7.5483,Dream Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/dream_bar_45.2532_7.5483.json,custom
45.256050,7.541310,ov_i_re_45.2561_7.5413,I Re,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/i_re_45.2561_7.5413.json,custom
45.255383,7.546408,ov_birrificio_lungo_sorso_45.2554_7.5464,Birrificio Lungo Sorso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/birrificio_lungo_sorso_45.2554_7.5464.json,custom
45.254741,7.547170,ov_bar_15_45.2547_7.5472,Bar 15,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/bar_15_45.2547_7.5472.json,custom
45.255195,7.540224,ov_caudera_davide_45.2552_7.5402,Caudera Davide,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/caudera_davide_45.2552_7.5402.json,custom
45.254753,7.547148,osm_numero_15_45.2548_7.5471,Numero 15,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/numero_15_45.2548_7.5471.json,custom
45.246913,7.541972,ov_octopus_asd_45.2469_7.5420,Octopus ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/octopus_asd_45.2469_7.5420.json,custom
45.273874,7.543613,ov_biblioteca_di_mathi_p__cantone_45.2739_7.5436,Biblioteca di Mathi P. Cantone,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/mathi/pages/biblioteca_di_mathi_p_cantone_45.2739_7.5436.json,custom
