# lat,lng,id,name,building_type,type,url,page_type
# asola -- Tutti
45.223903,10.412131,ov_ospedale_carlo_poma_45.2239_10.4121,Ospedale Carlo Poma,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/ospedale_carlo_poma_45.2239_10.4121.json,custom
45.244437,10.383298,ov_ristorante_corte_caselline_45.2444_10.3833,Ristorante Corte Caselline,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/ristorante_corte_caselline_45.2444_10.3833.json,custom
45.222809,10.421005,ov_ristorante_pizzeria_al_catenaccio_45.2228_10.4210,Ristorante Pizzeria al Catenaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/ristorante_pizzeria_al_catenaccio_45.2228_10.4210.json,custom
45.222823,10.420919,ov_pizzeria_ristorante_al_catenaccio_45.2228_10.4209,Pizzeria Ristorante Al Catenaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/pizzeria_ristorante_al_catenaccio_45.2228_10.4209.json,custom
45.220619,10.420060,ov_doner_kebab_hallal__pk_fast_food__45.2206_10.4201,Doner Kebab Hallal (PK Fast Food),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/doner_kebab_hallal_pk_fast_food_45.2206_10.4201.json,custom
45.217787,10.420342,ov_ristorante_pizzeria_4strade_45.2178_10.4203,Ristorante Pizzeria 4Strade,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/ristorante_pizzeria_4strade_45.2178_10.4203.json,custom
45.217163,10.419435,ov_mcdonald_s_45.2172_10.4194,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/mcdonalds_45.2172_10.4194.json,custom
45.219740,10.406016,ov_uv_studio_asola_45.2197_10.4060,UV Studio Asola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/uv_studio_asola_45.2197_10.4060.json,custom
45.219452,10.406756,ov_pizza_pi__45.2195_10.4068,Pizza Più,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/pizza_pi_45.2195_10.4068.json,custom
45.219853,10.406426,ov_ristorante_la_filanda_45.2199_10.4064,Ristorante La Filanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/ristorante_la_filanda_45.2199_10.4064.json,custom
45.220020,10.410200,ov_trattoria_nuovo_impero_45.2200_10.4102,Trattoria Nuovo Impero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/trattoria_nuovo_impero_45.2200_10.4102.json,custom
45.220730,10.411280,ov_il_forno_di_asola_45.2207_10.4113,Il Forno di Asola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/il_forno_di_asola_45.2207_10.4113.json,custom
45.220659,10.413784,ov_pizzeria_friggitoria_zio_toro_45.2207_10.4138,Pizzeria Friggitoria Zio Toro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/pizzeria_friggitoria_zio_toro_45.2207_10.4138.json,custom
45.221494,10.412361,ov_pizza_in_piazza_45.2215_10.4124,Pizza in Piazza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/pizza_in_piazza_45.2215_10.4124.json,custom
45.222062,10.412423,ov_pizza_e_fantasia_45.2221_10.4124,Pizza e Fantasia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/pizza_e_fantasia_45.2221_10.4124.json,custom
45.221174,10.413877,ov_mani_in_pasta_45.2212_10.4139,Mani in pasta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/mani_in_pasta_45.2212_10.4139.json,custom
45.223500,10.416927,ov_tramvai_beer_grill_45.2235_10.4169,Tramvai Beer Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/asola/pages/tramvai_beer_grill_45.2235_10.4169.json,custom
