# lat,lng,id,name,building_type,type,url,page_type
# cornate_dadda -- Tutti
45.648120,9.465130,ov_ambulatorio_medico_dentistico_belvedere_45.6481_9.4651,Ambulatorio Medico Dentistico Belvedere,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/ambulatorio_medico_dentistico_belvedere_45.6481_9.4651.json,custom
45.620895,9.473266,ov_burger_king_45.6209_9.4733,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/burger_king_45.6209_9.4733.json,custom
45.622868,9.473904,ov_billy_tacos_45.6229_9.4739,Billy Tacos,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/billy_tacos_45.6229_9.4739.json,custom
45.622823,9.474927,ov_mozzarella_e_basilico_45.6228_9.4749,Mozzarella e Basilico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/mozzarella_e_basilico_45.6228_9.4749.json,custom
45.622940,9.474308,ov_roadhouse_restaurant_45.6229_9.4743,Roadhouse Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/roadhouse_restaurant_45.6229_9.4743.json,custom
45.632805,9.469763,ov_quinto_chakra___music_academy_45.6328_9.4698,Quinto Chakra - Music Academy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/quinto_chakra_-_music_academy_45.6328_9.4698.json,custom
45.631567,9.471829,ov_pizzeria_ristorante_spaccanapoli_187_45.6316_9.4718,Pizzeria Ristorante Spaccanapoli 187,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/pizzeria_ristorante_spaccanapoli_187_45.6316_9.4718.json,custom
45.631259,9.472398,ov_pizzeria_cleopatra_45.6313_9.4724,Pizzeria Cleopatra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/pizzeria_cleopatra_45.6313_9.4724.json,custom
45.630166,9.469999,ov_trattoria_villa_45.6302_9.4700,Trattoria Villa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/trattoria_villa_45.6302_9.4700.json,custom
45.644420,9.485950,ov_tee19_ristorante_45.6444_9.4860,Tee19 Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/tee19_ristorante_45.6444_9.4860.json,custom
45.638500,9.470344,ov_ristorante_giapponese_yama_sushi_45.6385_9.4703,Ristorante giapponese YAMA SUSHI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/ristorante_giapponese_yama_sushi_45.6385_9.4703.json,custom
45.646279,9.466000,ov_pizzeria_l_orologio_45.6463_9.4660,Pizzeria L'Orologio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/pizzeria_lorologio_45.6463_9.4660.json,custom
45.648970,9.483902,ov_ristorante_al_boschetto_45.6490_9.4839,Ristorante Al Boschetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/ristorante_al_boschetto_45.6490_9.4839.json,custom
45.648546,9.463277,ov_pizzeria_bella_italia_45.6485_9.4633,Pizzeria Bella Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/pizzeria_bella_italia_45.6485_9.4633.json,custom
45.647203,9.465802,osm_pizzeria_il_caminetto_45.6472_9.4658,Pizzeria il Caminetto,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/pizzeria_il_caminetto_45.6472_9.4658.json,custom
45.623553,9.471606,ov_mondogelato_busnago_45.6236_9.4716,Mondogelato Busnago,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/mondogelato_busnago_45.6236_9.4716.json,custom
45.631879,9.470628,ov_bar_edicola_pegaso_45.6319_9.4706,Bar Edicola Pegaso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/bar_edicola_pegaso_45.6319_9.4706.json,custom
45.629700,9.469870,ov_brasseria_italiana_drink_and_food_45.6297_9.4699,Brasseria Italiana Drink and Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cornate_dadda/pages/brasseria_italiana_drink_and_food_45.6297_9.4699.json,custom
