# lat,lng,id,name,building_type,type,url,page_type
# leisach -- Tutti
46.813983,12.751979,ov_kegelstadel_46.8140_12.7520,Kegelstadel,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/leisach/pages/kegelstadel_46.8140_12.7520.json,custom
46.798200,12.743600,ov_dopamin_klettersteig_46.7982_12.7436,Dopamin Klettersteig,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/leisach/pages/dopamin_klettersteig_46.7982_12.7436.json,custom
46.810653,12.749892,ov_tanzarttirol_46.8107_12.7499,TanzArtTirol,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/leisach/pages/tanzarttirol_46.8107_12.7499.json,custom
