# lat,lng,id,name,building_type,type,url,page_type
# San Paolo Bel Sito -- Tutti
40.912710,14.544090,ov_ambulatorio_di_emodialisi_do_ma__40.9127_14.5441,Ambulatorio di Emodialisi DO.MA.,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_paolo_bel_sito/pages/ambulatorio_di_emodialisi_doma_40.9127_14.5441.json,custom
40.913455,14.549596,ov_sesto_b_restaurant_40.9135_14.5496,Sesto B Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_paolo_bel_sito/pages/sesto_b_restaurant_40.9135_14.5496.json,custom
40.913445,14.549614,ov_ghe_kal__40.9134_14.5496,Ghe Kalè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_paolo_bel_sito/pages/ghe_kal_40.9134_14.5496.json,custom
40.919153,14.538630,ov_bar_pizzeria_armenio_natale_40.9192_14.5386,Bar Pizzeria Armenio Natale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_paolo_bel_sito/pages/bar_pizzeria_armenio_natale_40.9192_14.5386.json,custom
40.916774,14.542267,ov_barilotto_40.9168_14.5423,Barilotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_paolo_bel_sito/pages/barilotto_40.9168_14.5423.json,custom
40.914577,14.544960,ov_la_regina_ristorante_pizzeria_40.9146_14.5450,La Regina Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_paolo_bel_sito/pages/la_regina_ristorante_pizzeria_40.9146_14.5450.json,custom
40.914819,14.547717,ov_maurizio_de_riggi___markus_40.9148_14.5477,Maurizio De Riggi - Markus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_paolo_bel_sito/pages/maurizio_de_riggi_-_markus_40.9148_14.5477.json,custom
40.916321,14.542825,ov_ristorante_markus_40.9163_14.5428,Ristorante Markus,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_paolo_bel_sito/pages/ristorante_markus_40.9163_14.5428.json,custom
40.912274,14.548679,ov_barviator_40.9123_14.5487,BarViator,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_paolo_bel_sito/pages/barviator_40.9123_14.5487.json,custom
40.927210,14.537830,ov_adi_shakti_40.9272_14.5378,Adi Shakti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_paolo_bel_sito/pages/adi_shakti_40.9272_14.5378.json,custom
