# lat,lng,id,name,building_type,type,url,page_type
# Silandro -- Tutti
46.628649,10.777987,ov_ospedale_di_silandro_46.6286_10.7780,Ospedale di Silandro,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/ospedale_di_silandro_46.6286_10.7780.json,custom
46.611851,10.729029,ov_fischteich_brugg_46.6119_10.7290,Fischteich Brugg,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/fischteich_brugg_46.6119_10.7290.json,custom
46.627865,10.771790,ov_istanbul_kebap_pizza_silandro_46.6279_10.7718,istanbul kebap pizza silandro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/istanbul_kebap_pizza_silandro_46.6279_10.7718.json,custom
46.626453,10.772007,ov_turkish_best_kebap_46.6265_10.7720,Turkish Best Kebap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/turkish_best_kebap_46.6265_10.7720.json,custom
46.628901,10.776473,ov_speckeggele_46.6289_10.7765,Speckeggele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/speckeggele_46.6289_10.7765.json,custom
46.628570,10.776820,ov_tr_gerwirt_46.6286_10.7768,Trögerwirt,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/trgerwirt_46.6286_10.7768.json,custom
46.628577,10.777153,ov_gasthaus_restaurant_schwarzer_adler_46.6286_10.7772,Gasthaus-Restaurant Schwarzer Adler,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/gasthaus-restaurant_schwarzer_adler_46.6286_10.7772.json,custom
46.627639,10.774273,ov_hasenwirt_46.6276_10.7743,Hasenwirt,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/hasenwirt_46.6276_10.7743.json,custom
46.596274,10.779798,ov_jausenstation_haslhof_46.5963_10.7798,Jausenstation Haslhof,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/jausenstation_haslhof_46.5963_10.7798.json,custom
46.627007,10.776765,ov_cafe_venusta_46.6270_10.7768,Cafe Venusta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/cafe_venusta_46.6270_10.7768.json,custom
46.628501,10.777768,ov_cafe_marx_46.6285_10.7778,Cafe Marx,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/cafe_marx_46.6285_10.7778.json,custom
46.628909,10.776463,ov_bar_cremona_46.6289_10.7765,Bar Cremona,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/bar_cremona_46.6289_10.7765.json,custom
46.629151,10.775861,ov_cafe_konditorei_schuster_46.6292_10.7759,Cafe Konditorei Schuster,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/cafe_konditorei_schuster_46.6292_10.7759.json,custom
46.628216,10.774777,ov_101_caff__46.6282_10.7748,101 Caffé,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/101_caff_46.6282_10.7748.json,custom
46.626436,10.773044,ov_kegelbar_schlanders_46.6264_10.7730,Kegelbar Schlanders,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/kegelbar_schlanders_46.6264_10.7730.json,custom
46.629124,10.773307,ov_cafe_stainer_46.6291_10.7733,Cafe Stainer,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/cafe_stainer_46.6291_10.7733.json,custom
46.627349,10.774152,ov_avimundus_46.6273_10.7742,Avimundus,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/avimundus_46.6273_10.7742.json,custom
46.630035,10.773612,ov_castello_di_silandro_46.6300_10.7736,Castello di Silandro,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/castello_di_silandro_46.6300_10.7736.json,custom
46.630039,10.773769,ov_bibliothek_schlandersburg_46.6300_10.7738,Bibliothek Schlandersburg,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/silandro/pages/bibliothek_schlandersburg_46.6300_10.7738.json,custom
