# lat,lng,id,name,building_type,type,url,page_type
# Bellizzi -- Tutti
40.637159,14.970161,ov_clinica_villa_del_sole___salerno_40.6372_14.9702,Clinica Villa Del Sole - Salerno,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/clinica_villa_del_sole_-_salerno_40.6372_14.9702.json,custom
40.623269,14.929667,ov_tarallucci_e_vino_40.6233_14.9297,tarallucci e vino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/tarallucci_e_vino_40.6233_14.9297.json,custom
40.623560,14.929667,ov_super_pollo_girarrosto_40.6236_14.9297,Super Pollo Girarrosto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/super_pollo_girarrosto_40.6236_14.9297.json,custom
40.620542,14.946060,ov_il_trancio_d_oro_40.6205_14.9461,Il Trancio D'oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/il_trancio_doro_40.6205_14.9461.json,custom
40.620386,14.944959,ov_l_angolino_del_sol_40.6204_14.9450,L'Angolino del Sol,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/langolino_del_sol_40.6204_14.9450.json,custom
40.620704,14.944612,ov_sushi_love_40.6207_14.9446,SUSHI Love,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/sushi_love_40.6207_14.9446.json,custom
40.621102,14.945415,ov_bistrot_40.6211_14.9454,Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/bistrot_40.6211_14.9454.json,custom
40.620989,14.943769,ov_enjoy_pizza_40.6210_14.9438,Enjoy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/enjoy_pizza_40.6210_14.9438.json,custom
40.621277,14.943031,ov_arte___pizza_40.6213_14.9430,Arte & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/arte_pizza_40.6213_14.9430.json,custom
40.621289,14.943064,ov_ali_baba_kebab_bellizzi_40.6213_14.9431,Ali baba kebab bellizzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/ali_baba_kebab_bellizzi_40.6213_14.9431.json,custom
40.621391,14.943215,ov_mo_magn_40.6214_14.9432,Mo Magn,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/mo_magn_40.6214_14.9432.json,custom
40.622208,14.940573,ov_limin_sushi_and_fusion_40.6222_14.9406,Limin Sushi and Fusion,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/limin_sushi_and_fusion_40.6222_14.9406.json,custom
40.622270,14.940540,ov_ristorante_da_zio_vo__vo__40.6223_14.9405,Ristorante da Zio Vo’ Vo’,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/ristorante_da_zio_vo_vo_40.6223_14.9405.json,custom
40.622195,14.940991,ov_the_big_brothers_pub_40.6222_14.9410,The Big Brothers Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/the_big_brothers_pub_40.6222_14.9410.json,custom
40.619792,14.942017,ov_castelluccio_selezione_gourmet_40.6198_14.9420,Castelluccio Selezione Gourmet,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/castelluccio_selezione_gourmet_40.6198_14.9420.json,custom
40.619580,14.950314,ov_pizzeria_malu_40.6196_14.9503,Pizzeria Malu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/pizzeria_malu_40.6196_14.9503.json,custom
40.622783,14.951079,ov_pizzeria_le_4_viole_40.6228_14.9511,Pizzeria Le 4 Viole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/pizzeria_le_4_viole_40.6228_14.9511.json,custom
40.618841,14.952928,ov_pizzeria_rosticceria_da_carminuccio_40.6188_14.9529,Pizzeria Rosticceria da Carminuccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/pizzeria_rosticceria_da_carminuccio_40.6188_14.9529.json,custom
40.621488,14.949385,ov_la_bettola_40.6215_14.9494,La bettola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/la_bettola_40.6215_14.9494.json,custom
40.621385,14.949572,ov_o__povero_pesce_40.6214_14.9496,O' Povero Pesce,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/o_povero_pesce_40.6214_14.9496.json,custom
40.619503,14.949740,ov_rendez_vous___bellizzi_40.6195_14.9497,Rendez Vous - Bellizzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/rendez_vous_-_bellizzi_40.6195_14.9497.json,custom
40.620757,14.948647,ov_pizzeria_le_due_fiamme_40.6208_14.9486,Pizzeria Le Due Fiamme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/bellizzi/pages/pizzeria_le_due_fiamme_40.6208_14.9486.json,custom
