# lat,lng,id,name,building_type,type,url,page_type
# Bondeno -- Tutti
44.880579,11.414155,ov_ospedale_fratelli_borselli_44.8806_11.4142,Ospedale Fratelli Borselli,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/ospedale_fratelli_borselli_44.8806_11.4142.json,custom
44.885792,11.405780,ov_campo_sportivo_comunale_pollastri_bonden_44.8858_11.4058,Campo Sportivo Comunale Pollastri Bondeno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/campo_sportivo_comunale_pollastri_bonden_44.8858_11.4058.json,custom
44.887040,11.413916,ov_pizzeria_mimosa_44.8870_11.4139,Pizzeria Mimosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/pizzeria_mimosa_44.8870_11.4139.json,custom
44.886440,11.374784,ov_la_carioncella_44.8864_11.3748,La Carioncella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/la_carioncella_44.8864_11.3748.json,custom
44.872580,11.354920,ov_black_silver_44.8726_11.3549,Black Silver,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/black_silver_44.8726_11.3549.json,custom
44.895046,11.400487,ov_agriturismo_la_florida_44.8950_11.4005,Agriturismo la Florida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/agriturismo_la_florida_44.8950_11.4005.json,custom
44.900162,11.404331,ov_da_nani_44.9002_11.4043,Da Nani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/da_nani_44.9002_11.4043.json,custom
44.900859,11.404414,ov_ristorante_hotel_la_perla_44.9009_11.4044,Ristorante Hotel La Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/ristorante_hotel_la_perla_44.9009_11.4044.json,custom
44.914390,11.351505,ov_ristorante_dogana_44.9144_11.3515,Ristorante Dogana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/ristorante_dogana_44.9144_11.3515.json,custom
44.945460,11.287990,ov_pizzeria_pomo_d_oro_44.9455_11.2880,Pizzeria Pomo d'Oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/pizzeria_pomo_doro_44.9455_11.2880.json,custom
44.946620,11.278196,ov_ristorante_dogana_44.9466_11.2782,Ristorante Dogana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/ristorante_dogana_44.9466_11.2782.json,custom
44.952514,11.379693,ov_trattoria_il_calesse_44.9525_11.3797,Trattoria Il Calesse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/trattoria_il_calesse_44.9525_11.3797.json,custom
44.926865,11.447857,ov_la_bottega_del_cinema_44.9269_11.4479,La Bottega del Cinema,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/la_bottega_del_cinema_44.9269_11.4479.json,custom
44.947061,11.422542,ov_il_braciere_la_rocca_ristorante_pizzeria_44.9471_11.4225,Il Braciere la Rocca Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/il_braciere_la_rocca_ristorante_pizzeria_44.9471_11.4225.json,custom
44.947971,11.421858,ov_sagra_dell_anatra_44.9480_11.4219,Sagra dell'Anatra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/sagra_dellanatra_44.9480_11.4219.json,custom
44.948205,11.422696,ov_pizzeria_del_borgo_44.9482_11.4227,Pizzeria del Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/pizzeria_del_borgo_44.9482_11.4227.json,custom
44.922590,11.428430,ov_la_pgnata_dl_elisa_with_gli_abusivi_2_44.9226_11.4284,La pgnata dl'Elisa with Gli abusivi 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/la_pgnata_dlelisa_with_gli_abusivi_2_44.9226_11.4284.json,custom
44.890914,11.431054,ov_pizzeria_ristorante_il_colibr__44.8909_11.4311,Pizzeria Ristorante Il Colibrì,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/pizzeria_ristorante_il_colibr_44.8909_11.4311.json,custom
44.892671,11.431063,ov_trattoria_la_famiglia_44.8927_11.4311,Trattoria La Famiglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/trattoria_la_famiglia_44.8927_11.4311.json,custom
44.889491,11.483102,ov_gianetto_44.8895_11.4831,Gianetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/gianetto_44.8895_11.4831.json,custom
44.886084,11.420034,ov_grande_cina_44.8861_11.4200,Grande Cina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/grande_cina_44.8861_11.4200.json,custom
44.886009,11.418640,ov_ristorante_pizzeria_da_mimmo_44.8860_11.4186,Ristorante Pizzeria da Mimmo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/ristorante_pizzeria_da_mimmo_44.8860_11.4186.json,custom
44.886332,11.416862,ov_pasta_fresca_cinzia_44.8863_11.4169,Pasta Fresca Cinzia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/pasta_fresca_cinzia_44.8863_11.4169.json,custom
44.886307,11.414991,ov_ristorante_hotel_tassi_44.8863_11.4150,Ristorante Hotel Tassi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/ristorante_hotel_tassi_44.8863_11.4150.json,custom
44.885692,11.415153,ov_caf__del_ricordo_ristorante_pizzeria_44.8857_11.4152,Café del Ricordo Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/caf_del_ricordo_ristorante_pizzeria_44.8857_11.4152.json,custom
44.884967,11.417098,ov_punto_sushi_44.8850_11.4171,Punto Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/punto_sushi_44.8850_11.4171.json,custom
44.885183,11.415252,ov_pizzeria_take_away_44.8852_11.4153,Pizzeria Take Away,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/pizzeria_take_away_44.8852_11.4153.json,custom
44.881611,11.420735,ov_pizzeria_break_point_44.8816_11.4207,Pizzeria Break Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/pizzeria_break_point_44.8816_11.4207.json,custom
44.879062,11.425070,ov_aida_cucina_contemporanea_44.8791_11.4251,Aida Cucina Contemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/aida_cucina_contemporanea_44.8791_11.4251.json,custom
44.869128,11.446673,ov_osteria_scciancalegn_44.8691_11.4467,Osteria Scciancalegn,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/osteria_scciancalegn_44.8691_11.4467.json,custom
44.876008,11.434673,osm_new_napoleonico_44.8760_11.4347,New Napoleonico,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/new_napoleonico_44.8760_11.4347.json,custom
44.952383,11.379732,osm_trattoria_il_calesse_44.9524_11.3797,Trattoria Il Calesse,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/bondeno/pages/trattoria_il_calesse_44.9524_11.3797.json,custom
