# lat,lng,id,name,building_type,type,url,page_type
# Ornago -- Tutti
45.598521,9.421506,ov_azienda_ospedaliera_di_desio_e_vimercate_45.5985_9.4215,Azienda Ospedaliera di Desio e Vimercate,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/azienda_ospedaliera_di_desio_e_vimercate_45.5985_9.4215.json,custom
45.598364,9.421494,ov_la_piazzetta_45.5984_9.4215,La Piazzetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/la_piazzetta_45.5984_9.4215.json,custom
45.597142,9.421021,ov_la_dolce_vite_45.5971_9.4210,La Dolce Vite,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/la_dolce_vite_45.5971_9.4210.json,custom
45.597200,9.420866,ov_locanda_la_dolce_vite_45.5972_9.4209,Locanda La Dolce Vite,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/locanda_la_dolce_vite_45.5972_9.4209.json,custom
45.596581,9.418223,ov_ristorante_albachiara_45.5966_9.4182,Ristorante Albachiara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/ristorante_albachiara_45.5966_9.4182.json,custom
45.604003,9.419681,ov_la_voglia_matta_45.6040_9.4197,La Voglia Matta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/la_voglia_matta_45.6040_9.4197.json,custom
45.608444,9.405260,ov_antica_osteria_cascina_rossino_1949_45.6084_9.4053,Antica Osteria Cascina Rossino 1949,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/antica_osteria_cascina_rossino_1949_45.6084_9.4053.json,custom
45.594108,9.430813,osm_agriturismo_la_malaspina_45.5941_9.4308,Agriturismo La Malaspina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/agriturismo_la_malaspina_45.5941_9.4308.json,custom
45.598066,9.419190,ov_chalet_nr7_45.5981_9.4192,Chalet Nr7,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/chalet_nr7_45.5981_9.4192.json,custom
45.599311,9.423861,ov_il_rava_45.5993_9.4239,Il rava,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/il_rava_45.5993_9.4239.json,custom
45.605106,9.409850,ov_birra_eretica_sas_45.6051_9.4098,Birra Eretica Sas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/birra_eretica_sas_45.6051_9.4098.json,custom
45.605066,9.409725,ov_la_corte_del_luppolo_45.6051_9.4097,La Corte del Luppolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/la_corte_del_luppolo_45.6051_9.4097.json,custom
45.713720,9.443320,ov_bellavista_bar_caffetteria_45.7137_9.4433,Bellavista Bar caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/bellavista_bar_caffetteria_45.7137_9.4433.json,custom
45.598623,9.434118,osm_antica_bottega_del_santuario_45.5986_9.4341,Antica Bottega Del Santuario,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/piemonte/ornago/pages/antica_bottega_del_santuario_45.5986_9.4341.json,custom
