# lat,lng,id,name,building_type,type,url,page_type
# podenzano -- Tutti
44.954632,9.685683,ov_casa_della_salute_podenzano_44.9546_9.6857,Casa della Salute Podenzano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/casa_della_salute_podenzano_44.9546_9.6857.json,custom
44.953053,9.660902,ov_trattoria_di_verano_44.9531_9.6609,Trattoria Di Verano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/trattoria_di_verano_44.9531_9.6609.json,custom
44.954448,9.680782,ov_lulu_44.9544_9.6808,Lulu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/lulu_44.9544_9.6808.json,custom
44.954365,9.680864,ov_ristorante_bar_trocadero_44.9544_9.6809,Ristorante Bar Trocadero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/ristorante_bar_trocadero_44.9544_9.6809.json,custom
44.956108,9.681329,ov_pizzeria_la_vecchia_napoli_44.9561_9.6813,Pizzeria La Vecchia Napoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/pizzeria_la_vecchia_napoli_44.9561_9.6813.json,custom
44.956938,9.678330,ov_profumo_d_origano_44.9569_9.6783,Profumo D'Origano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/profumo_dorigano_44.9569_9.6783.json,custom
44.958702,9.675356,ov_a_casa_di_teresa_home_restaurant_44.9587_9.6754,A casa di Teresa Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/a_casa_di_teresa_home_restaurant_44.9587_9.6754.json,custom
44.958084,9.681533,ov_bottega_pavesi_44.9581_9.6815,Bottega Pavesi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/bottega_pavesi_44.9581_9.6815.json,custom
44.960831,9.684160,ov_la_torrina_44.9608_9.6842,La Torrina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/la_torrina_44.9608_9.6842.json,custom
44.960440,9.682120,ov_gastronomia_chicken_house_jack_and_vimi__44.9604_9.6821,Gastronomia Chicken House Jack and Vimi's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/gastronomia_chicken_house_jack_and_vimis_44.9604_9.6821.json,custom
44.974859,9.685347,ov_trattoria_rio_verde_44.9749_9.6853,Trattoria Rio Verde,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/trattoria_rio_verde_44.9749_9.6853.json,custom
44.982410,9.693681,ov_trattoria_la_vaca_loca_44.9824_9.6937,Trattoria La Vaca Loca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/trattoria_la_vaca_loca_44.9824_9.6937.json,custom
44.982914,9.738562,ov_osteria_la_cambusa_44.9829_9.7386,Osteria La Cambusa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/osteria_la_cambusa_44.9829_9.7386.json,custom
44.978437,9.740732,ov_le_due_vespe_44.9784_9.7407,Le Due Vespe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/le_due_vespe_44.9784_9.7407.json,custom
44.978131,9.741068,ov_la_tavernetta_44.9781_9.7411,La Tavernetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/la_tavernetta_44.9781_9.7411.json,custom
44.978608,9.740893,ov_la_vecchia_cambusa_44.9786_9.7409,La Vecchia Cambusa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/la_vecchia_cambusa_44.9786_9.7409.json,custom
44.928659,9.695795,ov_ristorante_trattoria_la_vaca_loca___spec_44.9287_9.6958,Ristorante Trattoria La Vaca Loca - specialità carne alla gr,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/ristorante_trattoria_la_vaca_loca_-_spec_44.9287_9.6958.json,custom
44.986258,9.687392,ov_trattoria_regina_dal_baffo_44.9863_9.6874,Trattoria Regina dal Baffo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/trattoria_regina_dal_baffo_44.9863_9.6874.json,custom
44.851845,9.617806,ov_aternativeclub_44.8518_9.6178,AternativeClub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/aternativeclub_44.8518_9.6178.json,custom
44.955444,9.681035,ov_il_tasso_alcolico_44.9554_9.6810,Il Tasso Alcolico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/il_tasso_alcolico_44.9554_9.6810.json,custom
44.956416,9.681301,ov_bar_e_albergo_fiore_e_fiocchi_44.9564_9.6813,Bar e Albergo FIORE e Fiocchi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/bar_e_albergo_fiore_e_fiocchi_44.9564_9.6813.json,custom
44.957433,9.681772,ov_bar_900_44.9574_9.6818,Bar 900,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/bar_900_44.9574_9.6818.json,custom
44.957410,9.681820,ov_porte_ocerbi_44.9574_9.6818,Porteñocerbi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/porteocerbi_44.9574_9.6818.json,custom
44.957040,9.681661,ov_bar_dolce_vita_caf__44.9570_9.6817,Bar dolce vita cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/bar_dolce_vita_caf_44.9570_9.6817.json,custom
44.956556,9.687091,ov_bar_cristallo_44.9566_9.6871,Bar Cristallo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/bar_cristallo_44.9566_9.6871.json,custom
44.956434,9.687380,ov_bar_occhi_verdi_44.9564_9.6874,Bar Occhi Verdi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/bar_occhi_verdi_44.9564_9.6874.json,custom
44.956762,9.688711,ov_bar_boccio_44.9568_9.6887,Bar Boccio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/bar_boccio_44.9568_9.6887.json,custom
44.983070,9.697866,ov_turroland_44.9831_9.6979,Turroland,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/turroland_44.9831_9.6979.json,custom
44.951069,9.681771,ov_retorto_birrificio_artigianale_44.9511_9.6818,Retorto Birrificio Artigianale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/retorto_birrificio_artigianale_44.9511_9.6818.json,custom
44.946844,9.678925,ov_cafe_senorita_44.9468_9.6789,Cafe Senorita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/cafe_senorita_44.9468_9.6789.json,custom
44.909685,9.596402,ov_fino_coffee_wine_and_more_44.9097_9.5964,Fino Coffee Wine and More,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/fino_coffee_wine_and_more_44.9097_9.5964.json,custom
44.985976,9.687389,ov_ye_s_bar_tabaccheria_44.9860_9.6874,Ye's Bar Tabaccheria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/yes_bar_tabaccheria_44.9860_9.6874.json,custom
44.957438,9.681767,osm_bar_porte_o_900_44.9574_9.6818,Bar Porteño 900,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/bar_porteo_900_44.9574_9.6818.json,custom
44.949151,9.678706,ov_area10_fitness_club_44.9492_9.6787,Area10 Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/area10_fitness_club_44.9492_9.6787.json,custom
44.991030,9.704460,ov_biblioteca_comunale_sadako_sasaki___pode_44.9910_9.7045,Biblioteca Comunale Sadako Sasaki - Podenzano,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/podenzano/pages/biblioteca_comunale_sadako_sasaki_-_pode_44.9910_9.7045.json,custom
