# lat,lng,id,name,building_type,type
# Scanzano Jonico — Tutti i POI
40.249007,16.699793,osm_guardia_medica_40.2490_16.6998,Guardia Medica,hospital,hospital
40.248379,16.701139,osm_marlin_blue_40.2484_16.7011,Marlin Blue,ristorante,ristorante
40.248510,16.700707,osm_le_delizie_del_borgo_40.2485_16.7007,Le delizie del Borgo,ristorante,ristorante
40.248068,16.700447,osm_alla_grande_lucania_40.2481_16.7004,Alla grande Lucania,ristorante,ristorante
