# lat,lng,id,name,building_type,type,url,page_type
# Novi di Modena -- Tutti
44.844600,10.952970,ov_geriatria_44.8446_10.9530,Geriatria,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/geriatria_44.8446_10.9530.json,custom
44.884260,10.895110,ov_rosy_soliera_44.8843_10.8951,Rosy Soliera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/rosy_soliera_44.8843_10.8951.json,custom
44.891894,10.901982,ov_gustalo_44.8919_10.9020,Gustalo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/gustalo_44.8919_10.9020.json,custom
44.892059,10.901230,ov_alimentari_loi_agnese___c__snc_44.8921_10.9012,Alimentari Loi Agnese & C. snc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/alimentari_loi_agnese_c_snc_44.8921_10.9012.json,custom
44.892894,10.900814,ov_ristorante_pizzeria_orchidea_44.8929_10.9008,Ristorante Pizzeria Orchidea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/ristorante_pizzeria_orchidea_44.8929_10.9008.json,custom
44.892283,10.898789,ov_coop_44.8923_10.8988,Coop,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/coop_44.8923_10.8988.json,custom
44.891578,10.895853,ov_pizzeria_quadrifoglio_44.8916_10.8959,Pizzeria Quadrifoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/pizzeria_quadrifoglio_44.8916_10.8959.json,custom
44.889066,10.896499,ov_new_life_44.8891_10.8965,New life,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/new_life_44.8891_10.8965.json,custom
44.893853,10.899088,ov_luna_rossa_s_n_c__44.8939_10.8991,Luna Rossa S.N.C.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/luna_rossa_snc_44.8939_10.8991.json,custom
44.903551,10.907606,ov_osteria_la_leggenda_44.9036_10.9076,Osteria La Leggenda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/osteria_la_leggenda_44.9036_10.9076.json,custom
44.867349,10.891058,ov_osteria_da_tino_44.8673_10.8911,Osteria da Tino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/novi_di_modena/pages/osteria_da_tino_44.8673_10.8911.json,custom
