# lat,lng,id,name,building_type,type,url,page_type
# capizzi -- Tutti
37.851312,14.481430,ov_casa_di_riposo_san_giacomo_capizzi_37.8513_14.4814,Casa Di Riposo San Giacomo Capizzi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/capizzi/pages/casa_di_riposo_san_giacomo_capizzi_37.8513_14.4814.json,custom
37.849666,14.479568,ov_pizzeria_sapori_dei_nebrodi_da_nicola_37.8497_14.4796,Pizzeria Sapori dei Nebrodi da Nicola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/capizzi/pages/pizzeria_sapori_dei_nebrodi_da_nicola_37.8497_14.4796.json,custom
37.850054,14.480577,ov_antichi_sapori_37.8501_14.4806,Antichi Sapori,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/capizzi/pages/antichi_sapori_37.8501_14.4806.json,custom
37.851531,14.484402,ov_ipub_37.8515_14.4844,IPub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/capizzi/pages/ipub_37.8515_14.4844.json,custom
37.848968,14.478132,ov_fasolo_bennardo_pietro_37.8490_14.4781,Fasolo Bennardo Pietro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/capizzi/pages/fasolo_bennardo_pietro_37.8490_14.4781.json,custom
37.849008,14.477954,ov_bar_bocchio_37.8490_14.4780,Bar Bocchio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/capizzi/pages/bar_bocchio_37.8490_14.4780.json,custom
37.850371,14.482282,ov_bar_roma_37.8504_14.4823,Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/capizzi/pages/bar_roma_37.8504_14.4823.json,custom
37.850689,14.483655,ov_bar_panineria_fazio_37.8507_14.4837,Bar Panineria Fazio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/capizzi/pages/bar_panineria_fazio_37.8507_14.4837.json,custom
37.846999,14.480651,ov_museo_diocesano_di_arte_sacra_37.8470_14.4807,Museo Diocesano di Arte Sacra,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/capizzi/pages/museo_diocesano_di_arte_sacra_37.8470_14.4807.json,custom
