# lat,lng,id,name,building_type,type,url,page_type
# Verdello -- Tutti
45.609108,9.630079,ov_azienda_ospedaliera_ospedale_treviglio_c_45.6091_9.6301,Azienda Ospedaliera Ospedale Treviglio Caravaggio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdello/pages/azienda_ospedaliera_ospedale_treviglio_c_45.6091_9.6301.json,custom
45.590066,9.621013,ov_mcdonald_s_45.5901_9.6210,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdello/pages/mcdonalds_45.5901_9.6210.json,custom
45.590978,9.623201,ov_punto_pizza_45.5910_9.6232,Punto Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdello/pages/punto_pizza_45.5910_9.6232.json,custom
45.590471,9.627192,ov_trattoria_della_cascina_bolsa_45.5905_9.6272,Trattoria della Cascina Bolsa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdello/pages/trattoria_della_cascina_bolsa_45.5905_9.6272.json,custom
45.603190,9.625490,ov_la_corte_di_locatelli_romano_45.6032_9.6255,La Corte di Locatelli Romano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdello/pages/la_corte_di_locatelli_romano_45.6032_9.6255.json,custom
45.604715,9.628798,ov_made_ristorante_pizzeria_45.6047_9.6288,MADE Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdello/pages/made_ristorante_pizzeria_45.6047_9.6288.json,custom
45.604777,9.629595,ov_smartchoice_store_45.6048_9.6296,Smartchoice Store,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdello/pages/smartchoice_store_45.6048_9.6296.json,custom
45.604867,9.629648,ov_la_gatta_al_lardo_45.6049_9.6296,La Gatta al Lardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdello/pages/la_gatta_al_lardo_45.6049_9.6296.json,custom
45.604894,9.627601,ov_la_rocca_45.6049_9.6276,La Rocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdello/pages/la_rocca_45.6049_9.6276.json,custom
45.612694,9.624615,ov_ristorante_hostaria_germoglio_45.6127_9.6246,Ristorante Hostaria Germoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdello/pages/ristorante_hostaria_germoglio_45.6127_9.6246.json,custom
45.607757,9.627348,ov_gusto86_verdello_45.6078_9.6273,Gusto86 verdello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/verdello/pages/gusto86_verdello_45.6078_9.6273.json,custom
