# lat,lng,id,name,building_type,type,url,page_type
# Loreto -- Tutti
43.436148,13.606579,ov_ospedale_di_comunit__loreto_43.4361_13.6066,Ospedale di comunità Loreto,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ospedale_di_comunit_loreto_43.4361_13.6066.json,custom
43.436054,13.657711,ov_sem__porto_recanati_43.4361_13.6577,Semì Porto Recanati,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/sem_porto_recanati_43.4361_13.6577.json,custom
43.435580,13.658100,ov_pizzeria_da_roberto_43.4356_13.6581,Pizzeria da Roberto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/pizzeria_da_roberto_43.4356_13.6581.json,custom
43.434773,13.652912,ov_mcdonald_s_43.4348_13.6529,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/mcdonalds_43.4348_13.6529.json,custom
43.431040,13.612170,ov_al_girarrosto_43.4310_13.6122,Al Girarrosto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/al_girarrosto_43.4310_13.6122.json,custom
43.435430,13.609090,ov_la_locanda_del_viale_43.4354_13.6091,La Locanda del Viale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/la_locanda_del_viale_43.4354_13.6091.json,custom
43.435303,13.608772,ov_ristorante_pizzeria_non_solo_pizza_43.4353_13.6088,Ristorante Pizzeria Non solo pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/ristorante_pizzeria_non_solo_pizza_43.4353_13.6088.json,custom
43.438465,13.606366,ov_cantina_del_moro_43.4385_13.6064,Cantina Del Moro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/cantina_del_moro_43.4385_13.6064.json,custom
43.439032,13.606277,ov_pizzapulia_43.4390_13.6063,PizzApulia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/pizzapulia_43.4390_13.6063.json,custom
43.439639,13.606922,ov_punto_pizza_loreto_di_mislimi_basri_43.4396_13.6069,Punto Pizza Loreto Di Mislimi Basri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/punto_pizza_loreto_di_mislimi_basri_43.4396_13.6069.json,custom
43.439546,13.606353,ov_the_italian_43.4395_13.6064,The Italian,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/loreto/pages/the_italian_43.4395_13.6064.json,custom
