# lat,lng,id,name,building_type,type,url,page_type
# scafa -- Tutti
42.266942,13.996251,osm_distretto_socio_sanitario___scafa_42.2669_13.9963,Distretto socio-sanitario - Scafa,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/distretto_socio-sanitario_-_scafa_42.2669_13.9963.json,custom
42.266673,13.982727,ov_locanda_ammare_42.2667_13.9827,Locanda AmMare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/locanda_ammare_42.2667_13.9827.json,custom
42.242291,14.019515,ov_ristorante_parco_lavino_42.2423_14.0195,Ristorante Parco Lavino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/ristorante_parco_lavino_42.2423_14.0195.json,custom
42.247010,14.015840,ov_ristorante_bar_pizzeria_parco_lavino_42.2470_14.0158,Ristorante Bar Pizzeria Parco Lavino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/ristorante_bar_pizzeria_parco_lavino_42.2470_14.0158.json,custom
42.267535,14.003127,ov_la_piccola_osteria_42.2675_14.0031,La Piccola Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/la_piccola_osteria_42.2675_14.0031.json,custom
42.266065,14.007398,ov_pizzeria_la_civitella_42.2661_14.0074,Pizzeria La Civitella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/pizzeria_la_civitella_42.2661_14.0074.json,custom
42.252243,14.008747,ov_casablanca_bistr__42.2522_14.0087,Casablanca Bistrò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/casablanca_bistr_42.2522_14.0087.json,custom
42.254602,14.005217,ov_regina_maja_42.2546_14.0052,Regina Maja,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/regina_maja_42.2546_14.0052.json,custom
42.267055,13.992257,ov_l_antica_fonte_romana_42.2671_13.9923,L'Antica Fonte Romana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/lantica_fonte_romana_42.2671_13.9923.json,custom
42.267384,14.000279,ov_bar_del_corso_42.2674_14.0003,Bar del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/bar_del_corso_42.2674_14.0003.json,custom
42.265826,13.997650,ov_exclusive_42.2658_13.9976,Exclusive,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/exclusive_42.2658_13.9976.json,custom
42.266178,14.005409,ov_bar_gelateria_ciamponi_42.2662_14.0054,Bar Gelateria Ciamponi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/bar_gelateria_ciamponi_42.2662_14.0054.json,custom
42.264987,14.005983,ov_bar_marameo_42.2650_14.0060,Bar Marameo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/bar_marameo_42.2650_14.0060.json,custom
42.266241,14.005890,ov_pub_europa_42.2662_14.0059,Pub Europa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/pub_europa_42.2662_14.0059.json,custom
42.267126,13.995582,ov_bar_pasticceria_piero_e_santina_42.2671_13.9956,Bar Pasticceria Piero e Santina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/bar_pasticceria_piero_e_santina_42.2671_13.9956.json,custom
42.264972,14.006054,osm_bar_marameo_pizzeria_42.2650_14.0061,Bar Marameo Pizzeria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/bar_marameo_pizzeria_42.2650_14.0061.json,custom
42.029510,13.664320,ov_palestra_femminile_liberty_gym_42.0295_13.6643,Palestra Femminile Liberty Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/palestra_femminile_liberty_gym_42.0295_13.6643.json,custom
42.262911,13.963938,ov_cue_club_a_s_d_42.2629_13.9639,Cue Club A.S.D,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/cue_club_asd_42.2629_13.9639.json,custom
42.267457,14.002065,ov_bodyart_fitness_club_42.2675_14.0021,Bodyart fitness-club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/bodyart_fitness-club_42.2675_14.0021.json,custom
42.263795,13.996909,ov_campo_sportivo_42.2638_13.9969,Campo Sportivo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/campo_sportivo_42.2638_13.9969.json,custom
42.254266,14.005255,osm_moving_42.2543_14.0053,Moving,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/moving_42.2543_14.0053.json,custom
42.266931,13.994901,osm_poste_italiane_42.2669_13.9949,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafa/pages/poste_italiane_42.2669_13.9949.json,custom
