# lat,lng,id,name,building_type,type,url,page_type
# Castelfranco di Sotto -- Tutti
43.698771,10.746024,ov_studi_medici_misericordia_castelfranco_d_43.6988_10.7460,Studi Medici Misericordia Castelfranco di Sotto,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/studi_medici_misericordia_castelfranco_d_43.6988_10.7460.json,custom
43.698702,10.745201,ov_l_oasi_della_pizza_43.6987_10.7452,L'oasi della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/loasi_della_pizza_43.6987_10.7452.json,custom
43.696247,10.747562,ov_ristorante_pizzeria_napul___43.6962_10.7476,Ristorante Pizzeria Napul'è,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/ristorante_pizzeria_napul_43.6962_10.7476.json,custom
43.698137,10.742543,ov_da_remo_43.6981_10.7425,Da Remo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/da_remo_43.6981_10.7425.json,custom
43.698160,10.742420,ov_trattoria_pizzeria_al_forno_di_remo_43.6982_10.7424,Trattoria Pizzeria Al forno di Remo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/trattoria_pizzeria_al_forno_di_remo_43.6982_10.7424.json,custom
43.698809,10.738919,ov_ristobarbados_43.6988_10.7389,RistoBarbados,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/ristobarbados_43.6988_10.7389.json,custom
43.698677,10.732637,ov_pace_ristorante_giapponese_cinese_italia_43.6987_10.7326,Pace Ristorante Giapponese Cinese Italiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/pace_ristorante_giapponese_cinese_italia_43.6987_10.7326.json,custom
43.699367,10.734291,ov_pizzeria_piccola_perla_43.6994_10.7343,Pizzeria Piccola Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/pizzeria_piccola_perla_43.6994_10.7343.json,custom
43.698970,10.741245,ov_queen_pizza_43.6990_10.7412,Queen Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/queen_pizza_43.6990_10.7412.json,custom
43.783200,10.665590,ov_dolce___salato_43.7832_10.6656,Dolce & salato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/dolce_salato_43.7832_10.6656.json,custom
43.779394,10.659474,ov_pizzeria_vito_re_della_pizza_43.7794_10.6595,Pizzeria Vito re della pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/castelfranco_di_sotto/pages/pizzeria_vito_re_della_pizza_43.7794_10.6595.json,custom
