# lat,lng,id,name,building_type,type,url,page_type
# bernate_ticino -- Tutti
45.477107,8.836892,ov_speed_hospital_45.4771_8.8369,Speed Hospital,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bernate_ticino/pages/speed_hospital_45.4771_8.8369.json,custom
45.454726,8.805283,ov_ristorante_al_piave_45.4547_8.8053,Ristorante al Piave,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bernate_ticino/pages/ristorante_al_piave_45.4547_8.8053.json,custom
45.454716,8.805149,ov_bel_sit_45.4547_8.8051,Bel Sit,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bernate_ticino/pages/bel_sit_45.4547_8.8051.json,custom
45.478680,8.818360,ov_la_vecchia_griglieria_ballkan_da_stiven_45.4787_8.8184,La Vecchia Griglieria Ballkan Da Stiven,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bernate_ticino/pages/la_vecchia_griglieria_ballkan_da_stiven_45.4787_8.8184.json,custom
45.478399,8.818803,ov_bar_tunisi_45.4784_8.8188,Bar Tunisi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bernate_ticino/pages/bar_tunisi_45.4784_8.8188.json,custom
45.478139,8.818230,ov_bar_trattoria_italia_45.4781_8.8182,Bar Trattoria Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bernate_ticino/pages/bar_trattoria_italia_45.4781_8.8182.json,custom
45.479036,8.817195,ov_il_naviglio_45.4790_8.8172,Il Naviglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bernate_ticino/pages/il_naviglio_45.4790_8.8172.json,custom
45.484413,8.816987,ov_la_posteria_village_45.4844_8.8170,La Posteria Village,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bernate_ticino/pages/la_posteria_village_45.4844_8.8170.json,custom
45.559372,9.041761,ov_market_45.5594_9.0418,Market,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bernate_ticino/pages/market_45.5594_9.0418.json,custom
45.559246,9.041591,ov_ciao_ristorante_45.5592_9.0416,Ciao Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bernate_ticino/pages/ciao_ristorante_45.5592_9.0416.json,custom
45.492167,8.827645,ov_circulin_da_l_uratori_45.4922_8.8276,Circulin da l'Uratori,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bernate_ticino/pages/circulin_da_luratori_45.4922_8.8276.json,custom
45.479666,8.818403,osm_bernate_ticino_45.4797_8.8184,Bernate Ticino,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bernate_ticino/pages/bernate_ticino_45.4797_8.8184.json,custom
45.479635,8.816639,ov_biblioteca_civica_gianni_rodari_45.4796_8.8166,Biblioteca Civica Gianni Rodari,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/bernate_ticino/pages/biblioteca_civica_gianni_rodari_45.4796_8.8166.json,custom
