# lat,lng,id,name,building_type,type,url,page_type
# Palazzo San Gervasio -- Tutti
40.930453,15.981345,ov_azienda_sanitaria_locale_di_potenza_40.9305_15.9813,Azienda Sanitaria Locale Di Potenza,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/palazzo_san_gervasio/pages/azienda_sanitaria_locale_di_potenza_40.9305_15.9813.json,custom
40.929500,15.959130,ov_l_olio_dell_architetto_40.9295_15.9591,L'olio dell'architetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/palazzo_san_gervasio/pages/lolio_dellarchitetto_40.9295_15.9591.json,custom
40.933998,15.971594,ov_bramea_40.9340_15.9716,Bramea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/palazzo_san_gervasio/pages/bramea_40.9340_15.9716.json,custom
40.937716,15.972937,ov_bramea_40.9377_15.9729,Bramea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/palazzo_san_gervasio/pages/bramea_40.9377_15.9729.json,custom
40.929019,15.988401,ov_southern_bar_40.9290_15.9884,SoutheRn Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/palazzo_san_gervasio/pages/southern_bar_40.9290_15.9884.json,custom
40.930762,15.981283,ov_bar_tango_40.9308_15.9813,Bar Tango,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/palazzo_san_gervasio/pages/bar_tango_40.9308_15.9813.json,custom
40.931100,15.986190,ov_birrificio_re_manfredi_40.9311_15.9862,Birrificio Re Manfredi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/palazzo_san_gervasio/pages/birrificio_re_manfredi_40.9311_15.9862.json,custom
40.931694,15.970829,ov_joy_division_40.9317_15.9708,Joy Division,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/palazzo_san_gervasio/pages/joy_division_40.9317_15.9708.json,custom
40.932058,16.003314,ov_olantini_resort_40.9321_16.0033,Olantini Resort,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/palazzo_san_gervasio/pages/olantini_resort_40.9321_16.0033.json,custom
40.929280,15.987850,ov_asd_kodokan_judo_palazzo_s_g__40.9293_15.9878,Asd Kodokan Judo Palazzo S.G.,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/palazzo_san_gervasio/pages/asd_kodokan_judo_palazzo_sg_40.9293_15.9878.json,custom
40.929536,15.983317,ov_biblioteca_comunale_joseph_and_mary_agos_40.9295_15.9833,Biblioteca Comunale Joseph and Mary Agostine Memorial,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/palazzo_san_gervasio/pages/biblioteca_comunale_joseph_and_mary_agos_40.9295_15.9833.json,custom
