# lat,lng,id,name,building_type,type,url,page_type
# Majano -- Tutti
46.179091,13.035611,ov_hospitale_di_san_giovanni_46.1791_13.0356,Hospitale Di San Giovanni,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/hospitale_di_san_giovanni_46.1791_13.0356.json,custom
46.000000,13.000000,ov_pizzeria_focacceria_da_jonny_46.0000_13.0000,Pizzeria Focacceria da Jonny,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/pizzeria_focacceria_da_jonny_46.0000_13.0000.json,custom
46.189328,13.056091,ov_integraldo_46.1893_13.0561,Integraldo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/integraldo_46.1893_13.0561.json,custom
46.185839,13.059653,ov_pizzeria_europa_46.1858_13.0597,Pizzeria Europa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/pizzeria_europa_46.1858_13.0597.json,custom
46.185017,13.071289,ov_albergo_ristorante_pizzeria_dal_asin_46.1850_13.0713,Albergo Ristorante Pizzeria dal Asin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/albergo_ristorante_pizzeria_dal_asin_46.1850_13.0713.json,custom
46.197169,13.062780,ov_da_gardo_46.1972_13.0628,Da Gardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/da_gardo_46.1972_13.0628.json,custom
46.184820,13.067753,ov_pizza_italia_pizzeria_e_kebab_46.1848_13.0678,Pizza Italia Pizzeria e Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/pizza_italia_pizzeria_e_kebab_46.1848_13.0678.json,custom
46.184546,13.069426,ov_da_marcello_46.1845_13.0694,Da Marcello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/da_marcello_46.1845_13.0694.json,custom
46.170037,13.065609,ov_al_doge_46.1700_13.0656,Al Doge,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/al_doge_46.1700_13.0656.json,custom
45.921326,13.480192,ov_al_bistro____susans_45.9213_13.4802,Al Bistro' - Susans,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/al_bistro_-_susans_45.9213_13.4802.json,custom
46.176808,13.039718,ov_bar_ristoro_da_teresine_46.1768_13.0397,Bar Ristoro da Teresine,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/bar_ristoro_da_teresine_46.1768_13.0397.json,custom
46.179211,13.043735,ov_bar_repsol_46.1792_13.0437,Bar Repsol,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/bar_repsol_46.1792_13.0437.json,custom
46.223519,13.048706,ov_u_p_s_osoppani_46.2235_13.0487,U.P.S.Osoppani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/upsosoppani_46.2235_13.0487.json,custom
46.182591,13.067681,ov_mio_bar_46.1826_13.0677,Mio Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/mio_bar_46.1826_13.0677.json,custom
46.184793,13.067946,ov_bar_gelateria_al_ghiottone_46.1848_13.0679,Bar Gelateria Al Ghiottone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/bar_gelateria_al_ghiottone_46.1848_13.0679.json,custom
46.184231,13.068525,ov_topwin2_zero_majano_46.1842_13.0685,Topwin2.Zero Majano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/topwin2zero_majano_46.1842_13.0685.json,custom
46.187655,13.069971,ov_tira_baci_46.1877_13.0700,Tira baci,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/tira_baci_46.1877_13.0700.json,custom
46.184671,13.071033,ov_bar_al_got_46.1847_13.0710,Bar Al GOT,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/bar_al_got_46.1847_13.0710.json,custom
46.184768,13.069047,ov_bar_centrale_46.1848_13.0690,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/bar_centrale_46.1848_13.0690.json,custom
46.176152,13.093508,ov_bandera_paolo_46.1762_13.0935,Bandera Paolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/bandera_paolo_46.1762_13.0935.json,custom
46.195127,13.083865,ov_bar_minisini_46.1951_13.0839,Bar Minisini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/bar_minisini_46.1951_13.0839.json,custom
46.194959,13.083636,ov_las_vegas_46.1950_13.0836,Las Vegas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/las_vegas_46.1950_13.0836.json,custom
46.195272,13.052155,ov_castello_di_susans_46.1953_13.0522,Castello di Susans,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/castello_di_susans_46.1953_13.0522.json,custom
46.186681,13.069322,osm_biblioteca_comunale_46.1867_13.0693,Biblioteca comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/veneto/majano/pages/biblioteca_comunale_46.1867_13.0693.json,custom
