# lat,lng,id,name,building_type,type,url,page_type
# marcellinara -- Tutti
38.923631,16.485677,ov_farmacia_luni_38.9236_16.4857,Farmacia Luni,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/farmacia_luni_38.9236_16.4857.json,custom
38.908010,16.417985,ov_ristorante_da_gennaro_38.9080_16.4180,Ristorante Da Gennaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/ristorante_da_gennaro_38.9080_16.4180.json,custom
38.924942,16.483134,ov_ristorante_pizzeria_la_tana_del_lupo_38.9249_16.4831,Ristorante-pizzeria LA TANA DEL LUPO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/ristorante-pizzeria_la_tana_del_lupo_38.9249_16.4831.json,custom
38.916138,16.458927,ov_bruzia_grill_38.9161_16.4589,Bruzia Grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/bruzia_grill_38.9161_16.4589.json,custom
38.921681,16.473908,ov_agriturismo_i_colori_del_gusto_38.9217_16.4739,Agriturismo i colori del gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/agriturismo_i_colori_del_gusto_38.9217_16.4739.json,custom
38.924347,16.486953,ov_pizzeria_rosticceria_tavola_calda_nonna__38.9243_16.4870,Pizzeria Rosticceria Tavola Calda Nonna Anna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/pizzeria_rosticceria_tavola_calda_nonna__38.9243_16.4870.json,custom
38.932085,16.493523,ov_agriturismo_piano_del_monaco_38.9321_16.4935,Agriturismo Piano del Monaco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/agriturismo_piano_del_monaco_38.9321_16.4935.json,custom
38.910030,16.428900,ov_energy_bar_di_stella_38.9100_16.4289,Energy Bar di Stella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/energy_bar_di_stella_38.9100_16.4289.json,custom
38.922953,16.481627,ov_renda_caf__38.9230_16.4816,Renda Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/renda_caf_38.9230_16.4816.json,custom
38.921278,16.476706,ov_mille_voglie_2_0_38.9213_16.4767,Mille Voglie 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/mille_voglie_20_38.9213_16.4767.json,custom
38.921135,16.476861,ov_crazy_bar_38.9211_16.4769,Crazy Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/crazy_bar_38.9211_16.4769.json,custom
38.921978,16.479770,ov_caffe_italiano_38.9220_16.4798,Caffe Italiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/caffe_italiano_38.9220_16.4798.json,custom
38.926971,16.492032,ov_la_piazzetta_38.9270_16.4920,La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/la_piazzetta_38.9270_16.4920.json,custom
38.916290,16.491460,ov_planet_fitness_38.9163_16.4915,Planet Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/marcellinara/pages/planet_fitness_38.9163_16.4915.json,custom
