# lat,lng,id,name,building_type,type,url,page_type
# Viganello -- Tutti
46.015050,8.965178,osm_ristorante_la_gasparina_46.0151_8.9652,Ristorante La Gasparina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viganello/pages/ristorante_la_gasparina_46.0151_8.9652.json,custom
46.014485,8.962814,ov_universe_calisthenics_sagl_46.0145_8.9628,Universe Calisthenics Sagl,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viganello/pages/universe_calisthenics_sagl_46.0145_8.9628.json,custom
46.012979,8.961534,ov_centro_gaya_46.0130_8.9615,Centro Gaya,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viganello/pages/centro_gaya_46.0130_8.9615.json,custom
46.014553,8.968150,osm_biblioteca_dei_ragazzi___viganello_46.0146_8.9682,Biblioteca dei ragazzi - Viganello,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viganello/pages/biblioteca_dei_ragazzi_-_viganello_46.0146_8.9682.json,custom
46.013805,8.961405,osm_biblioteca_della_scuola_media_di_viganel_46.0138_8.9614,Biblioteca della Scuola Media di Viganello,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viganello/pages/biblioteca_della_scuola_media_di_viganel_46.0138_8.9614.json,custom
