# lat,lng,id,name,building_type,type,url,page_type
# Pollena Trocchia -- Tutti
40.857420,14.382030,ov_controra_40.8574_14.3820,Controra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/controra_40.8574_14.3820.json,custom
40.858373,14.375484,ov_eva_wine_e_cocktail_40.8584_14.3755,Eva wine e cocktail,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/eva_wine_e_cocktail_40.8584_14.3755.json,custom
40.855572,14.378727,ov_ollom_bar_40.8556_14.3787,Ollom bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/ollom_bar_40.8556_14.3787.json,custom
40.856030,14.378076,ov_bump_40.8560_14.3781,Bump,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/bump_40.8560_14.3781.json,custom
40.853456,14.376035,ov_surya_food___drink_40.8535_14.3760,Surya food & drink,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/surya_food_drink_40.8535_14.3760.json,custom
40.854502,14.379170,ov_bar_di_sieno_michele_40.8545_14.3792,Bar Di Sieno Michele,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/bar_di_sieno_michele_40.8545_14.3792.json,custom
40.851577,14.382196,ov_funiculipubpizza_40.8516_14.3822,funiculipubpizza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/funiculipubpizza_40.8516_14.3822.json,custom
40.852703,14.376298,ov_bar_tabacchi_l_attimo_40.8527_14.3763,Bar Tabacchi L'Attimo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/bar_tabacchi_lattimo_40.8527_14.3763.json,custom
40.852440,14.389000,ov_club_ippico_corral_40.8524_14.3890,Club Ippico Corral,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/club_ippico_corral_40.8524_14.3890.json,custom
40.859720,14.380650,ov_reserva_cocktail_and_more_40.8597_14.3806,Reserva cocktail and more,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/reserva_cocktail_and_more_40.8597_14.3806.json,custom
40.859308,14.389145,ov_caffetteria_scusate_il_ritardo_40.8593_14.3891,Caffetteria Scusate il ritardo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/caffetteria_scusate_il_ritardo_40.8593_14.3891.json,custom
40.866386,14.376708,ov_caffetteria_40.8664_14.3767,Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/caffetteria_40.8664_14.3767.json,custom
40.864011,14.372967,ov_bar_pasticceria_grieco_s_40.8640_14.3730,Bar-pasticceria Grieco's,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/bar-pasticceria_griecos_40.8640_14.3730.json,custom
40.864473,14.374668,ov_iqos_partner___gran_caff__excelsior_gari_40.8645_14.3747,"IQOS PARTNER - Gran Caffè Excelsior Garibaldi, Pollena Trocc",RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/iqos_partner_-_gran_caff_excelsior_garib_40.8645_14.3747.json,custom
40.863667,14.368516,ov_bar_tonya_40.8637_14.3685,Bar tonya,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/bar_tonya_40.8637_14.3685.json,custom
40.868390,14.373312,ov_makumba_cafe_40.8684_14.3733,Makumba Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/makumba_cafe_40.8684_14.3733.json,custom
40.878175,14.365525,ov_bar_tabacchi_la_mimosa_40.8782_14.3655,BAR Tabacchi La Mimosa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/bar_tabacchi_la_mimosa_40.8782_14.3655.json,custom
40.867489,14.380854,osm_pepito_40.8675_14.3809,Pepito,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/pepito_40.8675_14.3809.json,custom
40.867152,14.379602,osm_montesommavesuvio_40.8672_14.3796,Montesommavesuvio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/montesommavesuvio_40.8672_14.3796.json,custom
40.853700,14.383633,ov_equitazione_e_natura_40.8537_14.3836,Equitazione e natura,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/equitazione_e_natura_40.8537_14.3836.json,custom
40.860398,14.385556,ov_bulldog_fitness___private_outdoor_transf_40.8604_14.3856,Bulldog Fitness - Private Outdoor Transformation Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/bulldog_fitness_-_private_outdoor_transf_40.8604_14.3856.json,custom
40.865475,14.375754,ov_havana_night_40.8655_14.3758,Havana Night,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/havana_night_40.8655_14.3758.json,custom
40.869512,14.377357,ov_sensual_dance_academy_40.8695_14.3774,Sensual Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/sensual_dance_academy_40.8695_14.3774.json,custom
40.871423,14.373737,ov_dg_hybrid_training_academy_40.8714_14.3737,DG Hybrid Training Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/dg_hybrid_training_academy_40.8714_14.3737.json,custom
40.877988,14.364571,ov_bike_school_napoli_40.8780_14.3646,Bike School Napoli,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/bike_school_napoli_40.8780_14.3646.json,custom
40.878041,14.369291,ov_ipf_academy_40.8780_14.3693,IPF Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/ipf_academy_40.8780_14.3693.json,custom
40.867606,14.381146,osm_dance___fitness_40.8676_14.3811,Dance & Fitness,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/dance_fitness_40.8676_14.3811.json,custom
40.813252,14.481397,ov_museo_emblema_40.8133_14.4814,Museo Emblema,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/museo_emblema_40.8133_14.4814.json,custom
40.882560,14.364240,ov_villa_cocozza__iervolino_40.8826_14.3642,Villa Cocozza /iervolino,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/villa_cocozza_iervolino_40.8826_14.3642.json,custom
40.867283,14.380082,osm_poste_centrali_40.8673_14.3801,Poste Centrali,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/pollena_trocchia/pages/poste_centrali_40.8673_14.3801.json,custom
