# lat,lng,id,name,building_type,type,url,page_type
# jerzu -- Tutti
39.795830,9.516353,ov_asl___poliambulatorio_jerzu_39.7958_9.5164,ASL - Poliambulatorio Jerzu,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/jerzu/pages/asl_-_poliambulatorio_jerzu_39.7958_9.5164.json,custom
39.763340,9.508008,ov_jerzu_rifugio_d__ogliastra_39.7633_9.5080,Jerzu Rifugio D' Ogliastra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/jerzu/pages/jerzu_rifugio_d_ogliastra_39.7633_9.5080.json,custom
39.793467,9.516667,ov_da_zia_titina_39.7935_9.5167,Da Zia Titina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/jerzu/pages/da_zia_titina_39.7935_9.5167.json,custom
39.793711,9.516534,ov_ristorante_pizzeria_da_maria_di_doneddu__39.7937_9.5165,Ristorante Pizzeria da Maria di Doneddu Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/jerzu/pages/ristorante_pizzeria_da_maria_di_doneddu__39.7937_9.5165.json,custom
39.793837,9.516481,osm_ristorantepizzeria_bruschetteria_da_mari_39.7938_9.5165,RistorantePizzeria Bruschetteria Da Maria,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/jerzu/pages/ristorantepizzeria_bruschetteria_da_mari_39.7938_9.5165.json,custom
39.792769,9.517911,ov_bar_pizzeria_dell_angolo_39.7928_9.5179,Bar Pizzeria dell'Angolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/jerzu/pages/bar_pizzeria_dellangolo_39.7928_9.5179.json,custom
39.793910,9.516440,ov_bar_pasticceria_belvedere_39.7939_9.5164,Bar Pasticceria Belvedere,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/jerzu/pages/bar_pasticceria_belvedere_39.7939_9.5164.json,custom
39.794772,9.516123,ov_bar_la_piazzetta_39.7948_9.5161,Bar la Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/jerzu/pages/bar_la_piazzetta_39.7948_9.5161.json,custom
39.795250,9.516500,ov_slot_bar_39.7953_9.5165,Slot Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/jerzu/pages/slot_bar_39.7953_9.5165.json,custom
39.793878,9.516431,osm_pasticceria_belvedere_39.7939_9.5164,Pasticceria Belvedere,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/jerzu/pages/pasticceria_belvedere_39.7939_9.5164.json,custom
39.795443,9.515990,ov_cannonau_jerzu_picchi_asd_39.7954_9.5160,Cannonau Jerzu Picchi ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/jerzu/pages/cannonau_jerzu_picchi_asd_39.7954_9.5160.json,custom
39.796053,9.518005,ov_biblioteca_comunale_di_jerzu_39.7961_9.5180,Biblioteca Comunale di Jerzu,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sardegna/jerzu/pages/biblioteca_comunale_di_jerzu_39.7961_9.5180.json,custom
