# lat,lng,id,name,building_type,type,url,page_type
# Crosia -- Tutti
39.601776,16.784462,ov_poliambulatorio_san_francesco_39.6018_16.7845,Poliambulatorio San Francesco,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/poliambulatorio_san_francesco_39.6018_16.7845.json,custom
39.566640,16.773085,ov_garage_aperitif___bistrot_39.5666_16.7731,Garage Aperitif & Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/garage_aperitif_bistrot_39.5666_16.7731.json,custom
39.567242,16.772778,ov_circolo_ricreativo_centro_storico_crosia_39.5672_16.7728,Circolo Ricreativo Centro Storico Crosia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/circolo_ricreativo_centro_storico_crosia_39.5672_16.7728.json,custom
39.574478,16.765280,ov_agriturismo_fonte_madonna_39.5745_16.7653,Agriturismo Fonte Madonna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/agriturismo_fonte_madonna_39.5745_16.7653.json,custom
39.590588,16.766297,ov_il_nido_ristorante_pizzeria_39.5906_16.7663,IL NIDO Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/il_nido_ristorante_pizzeria_39.5906_16.7663.json,custom
39.592310,16.789530,ov_colle_degli_olivi_39.5923_16.7895,Colle degli Olivi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/colle_degli_olivi_39.5923_16.7895.json,custom
39.592426,16.766172,ov_al_parco_39.5924_16.7662,Al Parco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/al_parco_39.5924_16.7662.json,custom
39.602298,16.771156,ov_ami_sushi_39.6023_16.7712,Ami sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/ami_sushi_39.6023_16.7712.json,custom
39.600964,16.768512,ov_trotta_39.6010_16.7685,Trotta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/trotta_39.6010_16.7685.json,custom
39.600308,16.773714,ov_il_rifugio_39.6003_16.7737,Il Rifugio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/il_rifugio_39.6003_16.7737.json,custom
39.604380,16.776608,ov_pedro_s_pizzeria_mirto_crosia_39.6044_16.7766,Pedro's Pizzeria Mirto Crosia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/pedros_pizzeria_mirto_crosia_39.6044_16.7766.json,custom
39.604041,16.776793,ov_pizzart_da_marco_39.6040_16.7768,PIZZART da Marco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/pizzart_da_marco_39.6040_16.7768.json,custom
39.604737,16.775070,ov_cotto_e_servito_39.6047_16.7751,Cotto e Servito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/crosia/pages/cotto_e_servito_39.6047_16.7751.json,custom
