# lat,lng,id,name,building_type,type,url,page_type
# Niederdorf - Villabassa -- Tutti
46.737717,12.169396,osm_pizza_d_ner_s_dtirol_46.7377_12.1694,Pizza Döner Südtirol,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/niederdorf_-_villabassa/pages/pizza_dner_sdtirol_46.7377_12.1694.json,custom
46.737511,12.170851,osm_gartencafe_46.7375_12.1709,Gartencafe,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/niederdorf_-_villabassa/pages/gartencafe_46.7375_12.1709.json,custom
46.736176,12.183733,osm_bar_irma_46.7362_12.1837,Bar Irma,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/niederdorf_-_villabassa/pages/bar_irma_46.7362_12.1837.json,custom
46.738190,12.167520,osm_apfel_caff__46.7382_12.1675,Apfel Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/niederdorf_-_villabassa/pages/apfel_caff_46.7382_12.1675.json,custom
46.738295,12.168814,osm__ffentliche_bibliothek_niederdorf___bibl_46.7383_12.1688,Öffentliche Bibliothek Niederdorf - Biblioteca pubblica di V,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/trentino-aa/niederdorf_-_villabassa/pages/ffentliche_bibliothek_niederdorf_-_bibli_46.7383_12.1688.json,custom
