# lat,lng,id,name,name_it,name_en,building_type,type,street,housenumber,city,postcode,phone,email,website,hours,description,wikipedia_url,osm_id,wikidata_id,geoname_id,overture_id,provenance
41.780071,15.385228,osm_node_227415011_41.7801_15.3852,AdS San Trifone Ovest,AdS San Trifone Ovest,AdS San Trifone Ovest,RESTAURANT,restaurant,,,,,,,,,,,node/227415011,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.192774,15.812393,osm_node_253724326_41.1928_15.8124,Autogrill,Autogrill,Autogrill,RESTAURANT,restaurant,,,,,+39800069069,,,,,,node/253724326,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
40.477772,15.117412,osm_node_254272908_40.4778_15.1174,Mikonos,Mikonos,Mikonos,RESTAURANT,bar_cafe,,,,,,,,,,,node/254272908,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
40.481729,15.101010,osm_node_254291534_40.4817_15.1010,L'Ulivo,L'Ulivo,L'Ulivo,RESTAURANT,restaurant,,,,,,,,,,,node/254291534,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.227335,16.296954,osm_node_268561291_41.2273_16.2970,Poste Italiane,Poste Italiane,Poste Italiane,POST_OFFICE,post_office,,,,,+390883240221,,,Mo-Fr 08:20-19:05; Sa 08:20-19:05,,,node/268561291,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.226299,16.297294,osm_node_270424742_41.2263_16.2973,UniCredit Bank,UniCredit Bank,UniCredit Bank,BANK,bank,,,,,,,,,,,node/270424742,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.116865,16.869552,osm_node_279399567_41.1169_16.8696,BNL,BNL,BNL,BANK,bank,Via Giuseppe Capruzzi,190,Bari,70126,,,,,,,node/279399567,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.188823,16.671873,osm_node_281766594_41.1888_16.6719,Il Porticciolo,Il Porticciolo,Il Porticciolo,RESTAURANT,restaurant,,,,,,,,,,,node/281766594,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.119204,16.869826,osm_node_281771861_41.1192_16.8698,McDonald's,McDonald's,McDonald's,RESTAURANT,restaurant,Via Sparano da Bari,159,Bari,70121,+390805283038,,,"Mo-Fr,Su 06:30-00:30; Sa 06:30-01:30",,,node/281771861,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
41.263107,15.912798,osm_node_282866704_41.2631_15.9128,Plaza,Plaza,Plaza,RESTAURANT,bar_cafe,,,,,,,,,,,node/282866704,,,,"{""name"": ""osm"", ""name_it"": ""osm"", ""name_en"": ""osm"", ""lat"": ""osm"", ""lng"": ""osm"", ""street"": ""osm"", ""housenumber"": ""osm"", ""city"": ""osm"", ""postcode"": ""osm"", ""phone"": ""osm"", ""email"": ""osm"", ""website"": ""osm"", ""hours"": ""osm"", ""description"": ""osm""}"
