# lat,lng,id,name,building_type,type,url,page_type
# Campi Bisenzio -- Tutti
43.820153,11.142858,osm_azienda_usl_toscana_centro___distretto_c_43.8202_11.1429,Azienda USL Toscana centro - distretto Campi Bisenzio,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/azienda_usl_toscana_centro_-_distretto_c_43.8202_11.1429.json,custom
43.809948,11.087582,ov_la_cantina_di_sant_angelo_43.8099_11.0876,La Cantina di Sant'Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/la_cantina_di_santangelo_43.8099_11.0876.json,custom
43.867854,11.092951,ov_risto_sci__sempre_pi__grulli_fans_club_43.8679_11.0930,Risto-sciò Sempre più grulli fans club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/risto-sci_sempre_pi_grulli_fans_club_43.8679_11.0930.json,custom
43.805833,11.117910,ov_gastronomia_baroni_43.8058_11.1179,Gastronomia Baroni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/gastronomia_baroni_43.8058_11.1179.json,custom
43.805801,11.119008,ov_casa_bu__2013_43.8058_11.1190,Casa Bu' 2013,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/casa_bu_2013_43.8058_11.1190.json,custom
43.802457,11.134075,ov_casa_temperani_43.8025_11.1341,Casa Temperani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/casa_temperani_43.8025_11.1341.json,custom
43.806518,11.136214,ov_pizza_torello_43.8065_11.1362,Pizza Torello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/pizza_torello_43.8065_11.1362.json,custom
43.809269,11.138774,ov_pizzeria_santoni_43.8093_11.1388,Pizzeria Santoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/pizzeria_santoni_43.8093_11.1388.json,custom
43.809420,11.138680,ov_pizzeria_il_semaforo_43.8094_11.1387,Pizzeria Il Semaforo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/pizzeria_il_semaforo_43.8094_11.1387.json,custom
43.797031,11.147837,ov_casa_del_popolo_43.7970_11.1478,Casa del Popolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/casa_del_popolo_43.7970_11.1478.json,custom
43.791032,11.148489,ov_acero_rosso_ristorante_firenze_43.7910_11.1485,Acero Rosso Ristorante Firenze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/campi_bisenzio/pages/acero_rosso_ristorante_firenze_43.7910_11.1485.json,custom
