# lat,lng,id,name,building_type,type,url,page_type
# salemi -- Tutti
37.829100,12.803223,ov_ospedale_vittorio_emanuele_iii_di_salemi_37.8291_12.8032,Ospedale Vittorio Emanuele III di Salemi,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/ospedale_vittorio_emanuele_iii_di_salemi_37.8291_12.8032.json,custom
37.805410,12.853050,ov_cotto___mangiato_37.8054_12.8530,Cotto & Mangiato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/cotto_mangiato_37.8054_12.8530.json,custom
37.806404,12.855615,ov_caseificio_leofiore_latticini_37.8064_12.8556,Caseificio Leofiore Latticini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/caseificio_leofiore_latticini_37.8064_12.8556.json,custom
37.821210,12.803140,ov_pizzeria_forno_a_legna_la_ruffiana_37.8212_12.8031,Pizzeria forno a legna la ruffiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/pizzeria_forno_a_legna_la_ruffiana_37.8212_12.8031.json,custom
37.819050,12.807780,ov_panificio_roccaforte_37.8190_12.8078,Panificio Roccaforte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/panificio_roccaforte_37.8190_12.8078.json,custom
37.818235,12.808606,ov_la_giummara_37.8182_12.8086,La Giummara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/la_giummara_37.8182_12.8086.json,custom
37.817912,12.801117,ov_palazzo_monroy_37.8179_12.8011,Palazzo Monroy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/palazzo_monroy_37.8179_12.8011.json,custom
37.818311,12.799552,ov_u_tocco_37.8183_12.7996,U Tocco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/u_tocco_37.8183_12.7996.json,custom
37.819149,12.799570,ov_burger_house_37.8191_12.7996,Burger House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/burger_house_37.8191_12.7996.json,custom
37.819062,12.799554,ov_jolly_pizza_37.8191_12.7996,Jolly Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/jolly_pizza_37.8191_12.7996.json,custom
37.823628,12.806116,ov_speedy_pizza_37.8236_12.8061,Speedy pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/speedy_pizza_37.8236_12.8061.json,custom
37.826719,12.786751,ov_eclisse_37.8267_12.7868,Eclisse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/eclisse_37.8267_12.7868.json,custom
37.830792,12.770538,ov_musita_37.8308_12.7705,Musita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/musita_37.8308_12.7705.json,custom
37.840060,12.803901,ov_al_ciliegio_37.8401_12.8039,Al Ciliegio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/al_ciliegio_37.8401_12.8039.json,custom
37.884458,12.774771,ov_ristorante_ardigna_37.8845_12.7748,Ristorante Ardigna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/ristorante_ardigna_37.8845_12.7748.json,custom
37.803156,12.853567,ov_cantine_trapani_37.8032_12.8536,Cantine Trapani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/cantine_trapani_37.8032_12.8536.json,custom
37.821490,12.799300,ov_round_sky_pub_37.8215_12.7993,Round Sky Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/round_sky_pub_37.8215_12.7993.json,custom
37.820968,12.799363,ov_la_cremeria_37.8210_12.7994,La Cremeria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/la_cremeria_37.8210_12.7994.json,custom
37.820531,12.798919,ov_barcollando_37.8205_12.7989,Barcollando,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/barcollando_37.8205_12.7989.json,custom
37.820223,12.806583,ov_happy_days_37.8202_12.8066,Happy Days,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/happy_days_37.8202_12.8066.json,custom
37.819728,12.809588,ov_birrificio_chinaschi_37.8197_12.8096,Birrificio Chinaschi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/birrificio_chinaschi_37.8197_12.8096.json,custom
37.818169,12.800957,ov_kuddura_37.8182_12.8010,Kuddura,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/kuddura_37.8182_12.8010.json,custom
37.818132,12.799424,ov_tazze_pazze_37.8181_12.7994,Tazze pazze,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/tazze_pazze_37.8181_12.7994.json,custom
37.817885,12.799348,ov_merceria_idee_fiorello_37.8179_12.7993,Merceria Idee Fiorello,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/merceria_idee_fiorello_37.8179_12.7993.json,custom
37.817915,12.800849,ov_il_caf__di_antonella_f__37.8179_12.8008,Il café di Antonella F.,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/il_caf_di_antonella_f_37.8179_12.8008.json,custom
37.818509,12.799519,ov_extra_comfort_bar_37.8185_12.7995,Extra Comfort Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/extra_comfort_bar_37.8185_12.7995.json,custom
37.822676,12.799317,ov_bar_crystal_salemi_37.8227_12.7993,Bar Crystal Salemi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/bar_crystal_salemi_37.8227_12.7993.json,custom
37.824799,12.803892,ov_bar_centrale_37.8248_12.8039,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/bar_centrale_37.8248_12.8039.json,custom
37.826530,12.805820,ov_la_clessidra_37.8265_12.8058,La Clessidra,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/la_clessidra_37.8265_12.8058.json,custom
37.826576,12.786600,ov_garden_cafe_lounge_bar_37.8266_12.7866,Garden Cafe Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/garden_cafe_lounge_bar_37.8266_12.7866.json,custom
37.826720,12.787358,ov_birrificio_siciliano_picara_37.8267_12.7874,Birrificio Siciliano Picara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/birrificio_siciliano_picara_37.8267_12.7874.json,custom
37.826775,12.787377,ov_pizzeria_caffetteria_tiffany_37.8268_12.7874,Pizzeria Caffetteria Tiffany,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/pizzeria_caffetteria_tiffany_37.8268_12.7874.json,custom
37.826644,12.783989,ov_aurora_bar_37.8266_12.7840,Aurora Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/sicilia/salemi/pages/aurora_bar_37.8266_12.7840.json,custom
